setting,quantity,coeff,n_steps,first,last,rms,max_abs,endpoint,rms_of_L0_signal,rms_change_over_L0_rms,max_change_over_L0_max
L0,GP2,CL,39,2,40,3.6293e-05,8.3788e-05,9.8277e-06,,,
L0,GP2,CD,39,2,40,1.5578e-05,3.5820e-05,-7.5906e-06,,,
L0,GP2,CDp,39,2,40,1.5569e-05,3.5800e-05,-7.6182e-06,,,
L0,GP2,CDv,39,2,40,1.5276e-08,3.1061e-08,3.1061e-08,,,
L0,NN2,CL,39,2,40,3.7307e-05,9.8781e-05,3.2288e-05,,,
L0,NN2,CD,39,2,40,1.5509e-05,3.7337e-05,-4.2760e-07,,,
L0,NN2,CDp,39,2,40,1.5499e-05,3.7309e-05,-4.5460e-07,,,
L0,NN2,CDv,39,2,40,1.5764e-08,2.9812e-08,2.9500e-08,,,
L0,P,CL,39,2,40,1.1420e-05,2.5377e-05,2.2461e-05,,,
L0,P,CD,39,2,40,5.6867e-06,1.3268e-05,7.1630e-06,,,
L0,P,CDp,39,2,40,5.6865e-06,1.3266e-05,7.1636e-06,,,
L0,P,CDv,39,2,40,1.0242e-09,2.5687e-09,-1.5607e-09,,,
L1,GP2,CL,38,2,39,1.0447e-04,2.3360e-04,-2.2863e-04,,,
L1,GP2,CD,38,2,39,1.2661e-05,2.9369e-05,-8.3648e-06,,,
L1,GP2,CDp,38,2,39,1.2582e-05,2.9225e-05,-7.8747e-06,,,
L1,GP2,CDv,38,2,39,1.3711e-07,4.9314e-07,-4.9314e-07,,,
L1,NN2,CL,38,2,39,1.1328e-04,2.4828e-04,-2.3620e-04,,,
L1,NN2,CD,38,2,39,1.3317e-05,3.0233e-05,-8.5143e-06,,,
L1,NN2,CDp,38,2,39,1.3242e-05,3.0088e-05,-8.0290e-06,,,
L1,NN2,CDv,38,2,39,1.3442e-07,4.8745e-07,-4.8745e-07,,,
L1,P,CL,38,2,39,1.1112e-05,2.9864e-05,-7.5730e-06,,,
L1,P,CD,38,2,39,1.9631e-06,8.0467e-06,-1.4952e-07,,,
L1,P,CDp,38,2,39,1.9601e-06,8.0277e-06,-1.5434e-07,,,
L1,P,CDv,38,2,39,6.2862e-09,2.9999e-08,5.6840e-09,,,
L2,GP2,CL,38,2,39,1.6556e-04,3.9257e-04,-2.6537e-04,,,
L2,GP2,CD,38,2,39,2.7073e-05,9.8762e-05,-5.2990e-06,,,
L2,GP2,CDp,38,2,39,2.7289e-05,9.9198e-05,-3.6344e-06,,,
L2,GP2,CDv,38,2,39,6.8841e-07,1.6807e-06,-1.6652e-06,,,
L2,NN2,CL,38,2,39,1.7982e-04,4.3928e-04,-2.9656e-04,,,
L2,NN2,CD,38,2,39,3.2463e-05,1.2445e-04,-2.7381e-06,,,
