setting,quantity,coeff,step,value
L0,GP2,CL,2,0.000000e+00
L0,GP2,CL,3,0.000000e+00
L0,GP2,CL,4,0.000000e+00
L0,GP2,CL,5,0.000000e+00
L0,GP2,CL,6,0.000000e+00
L0,GP2,CL,7,0.000000e+00
L0,GP2,CL,8,0.000000e+00
L0,GP2,CL,9,0.000000e+00
L0,GP2,CL,10,3.673900e-06
L0,GP2,CL,11,3.387070e-05
L0,GP2,CL,12,2.686640e-05
L0,GP2,CL,13,3.473350e-05
L0,GP2,CL,14,4.145060e-05
L0,GP2,CL,15,3.243450e-05
L0,GP2,CL,16,8.863100e-06
L0,GP2,CL,17,-1.508400e-05
L0,GP2,CL,18,-2.597680e-05
L0,GP2,CL,19,-2.582050e-05
L0,GP2,CL,20,-5.288730e-05
L0,GP2,CL,21,-3.752860e-05
L0,GP2,CL,22,-2.874460e-05
L0,GP2,CL,23,-3.342570e-05
L0,GP2,CL,24,-3.463790e-05
L0,GP2,CL,25,-3.499450e-05
L0,GP2,CL,26,-2.369170e-05
L0,GP2,CL,27,-5.686000e-07
L0,GP2,CL,28,2.210540e-05
L0,GP2,CL,29,3.582550e-05
L0,GP2,CL,30,2.682660e-05
L0,GP2,CL,31,3.070770e-05
L0,GP2,CL,32,-2.032540e-05
L0,GP2,CL,33,-7.174400e-05
L0,GP2,CL,34,-8.101080e-05
L0,GP2,CL,35,-3.194550e-05
L0,GP2,CL,36,3.185560e-05
L0,GP2,CL,37,7.210610e-05
L0,GP2,CL,38,8.378830e-05
L0,GP2,CL,39,6.940910e-05
L0,GP2,CL,40,9.827700e-06
L0,GP2,CD,2,0.000000e+00
L0,GP2,CD,3,0.000000e+00
L0,GP2,CD,4,0.000000e+00
L0,GP2,CD,5,0.000000e+00
L0,GP2,CD,6,0.000000e+00
L0,GP2,CD,7,0.000000e+00
L0,GP2,CD,8,0.000000e+00
L0,GP2,CD,9,0.000000e+00
L0,GP2,CD,10,7.510146e-06
L0,GP2,CD,11,2.462367e-05
L0,GP2,CD,12,1.867207e-05
L0,GP2,CD,13,1.304965e-05
L0,GP2,CD,14,1.100734e-05
L0,GP2,CD,15,6.023654e-06
L0,GP2,CD,16,1.725811e-06
L0,GP2,CD,17,2.653110e-07
L0,GP2,CD,18,-7.494700e-07
L0,GP2,CD,19,-4.650946e-06
L0,GP2,CD,20,-3.180824e-05
L0,GP2,CD,21,-2.825941e-05
L0,GP2,CD,22,-1.581035e-05
L0,GP2,CD,23,2.704100e-08
L0,GP2,CD,24,1.119580e-05
L0,GP2,CD,25,1.768353e-05
L0,GP2,CD,26,1.966216e-05
L0,GP2,CD,27,1.927962e-05
L0,GP2,CD,28,2.041827e-05
L0,GP2,CD,29,2.453622e-05
L0,GP2,CD,30,3.581981e-05
L0,GP2,CD,31,2.929733e-05
L0,GP2,CD,32,1.126141e-05
L0,GP2,CD,33,4.751660e-07
L0,GP2,CD,34,2.222430e-06
L0,GP2,CD,35,1.004600e-05
L0,GP2,CD,36,1.980030e-05
L0,GP2,CD,37,2.406868e-05
L0,GP2,CD,38,1.894725e-05
L0,GP2,CD,39,7.841911e-06
L0,GP2,CD,40,-7.590628e-06
L0,GP2,CDp,2,0.000000e+00
L0,GP2,CDp,3,0.000000e+00
L0,GP2,CDp,4,0.000000e+00
L0,GP2,CDp,5,0.000000e+00
L0,GP2,CDp,6,0.000000e+00
L0,GP2,CDp,7,0.000000e+00
L0,GP2,CDp,8,0.000000e+00
L0,GP2,CDp,9,0.000000e+00
L0,GP2,CDp,10,7.501892e-06
L0,GP2,CDp,11,2.461509e-05
L0,GP2,CDp,12,1.866496e-05
L0,GP2,CDp,13,1.304333e-05
L0,GP2,CDp,14,1.100212e-05
L0,GP2,CDp,15,6.019148e-06
L0,GP2,CDp,16,1.722133e-06
L0,GP2,CDp,17,2.622331e-07
L0,GP2,CDp,18,-7.510845e-07
L0,GP2,CDp,19,-4.651472e-06
L0,GP2,CDp,20,-3.179875e-05
L0,GP2,CDp,21,-2.827578e-05
L0,GP2,CDp,22,-1.582609e-05
L0,GP2,CDp,23,6.371655e-09
L0,GP2,CDp,24,1.117709e-05
L0,GP2,CDp,25,1.766658e-05
L0,GP2,CDp,26,1.964608e-05
L0,GP2,CDp,27,1.926320e-05
L0,GP2,CDp,28,2.040213e-05
L0,GP2,CDp,29,2.452215e-05
L0,GP2,CDp,30,3.580010e-05
L0,GP2,CDp,31,2.928232e-05
L0,GP2,CDp,32,1.124413e-05
L0,GP2,CDp,33,4.517486e-07
L0,GP2,CDp,34,2.195193e-06
L0,GP2,CDp,35,1.001668e-05
L0,GP2,CDp,36,1.977250e-05
L0,GP2,CDp,37,2.404382e-05
L0,GP2,CDp,38,1.892445e-05
L0,GP2,CDp,39,7.819853e-06
L0,GP2,CDp,40,-7.618243e-06
L0,GP2,CDv,2,0.000000e+00
L0,GP2,CDv,3,0.000000e+00
L0,GP2,CDv,4,0.000000e+00
L0,GP2,CDv,5,0.000000e+00
L0,GP2,CDv,6,0.000000e+00
L0,GP2,CDv,7,0.000000e+00
L0,GP2,CDv,8,0.000000e+00
L0,GP2,CDv,9,0.000000e+00
L0,GP2,CDv,10,3.505621e-09
L0,GP2,CDv,11,9.139403e-09
L0,GP2,CDv,12,8.087147e-09
L0,GP2,CDv,13,6.208575e-09
L0,GP2,CDv,14,5.812521e-09
L0,GP2,CDv,15,6.178998e-09
L0,GP2,CDv,16,4.613062e-09
L0,GP2,CDv,17,3.104275e-09
L0,GP2,CDv,18,1.931132e-09
L0,GP2,CDv,19,1.756505e-09
L0,GP2,CDv,20,5.108797e-09
L0,GP2,CDv,21,1.016642e-08
L0,GP2,CDv,22,1.320860e-08
L0,GP2,CDv,23,1.670715e-08
L0,GP2,CDv,24,1.668232e-08
L0,GP2,CDv,25,1.613629e-08
L0,GP2,CDv,26,1.653103e-08
L0,GP2,CDv,27,1.676269e-08
L0,GP2,CDv,28,1.604886e-08
L0,GP2,CDv,29,1.335820e-08
L0,GP2,CDv,30,1.460796e-08
