item,path,value,date
SU2_CFD binary,/media/rausa/4TB/SU2_Versions/SU2_v8_Develop_ForAdaptation/bin/SU2_CFD,11736224,2025-12-10
SU2 source commit,/media/rausa/4TB/SU2_Versions/SU2_v8_Develop_ForAdaptation,dcee051d8ee7fba29ebe4d5f373c63a5fa198906,Fri Jun 27 08:21:49 2025 +0200
SU2 working tree dirty files,/media/rausa/4TB/SU2_Versions/SU2_v8_Develop_ForAdaptation,0,
"MeshAdaptation commit (transfer / motion code, as built into the case bases)",/media/rausa/4TB/MeshAdaptation,35d865ebdea88fc265a62d32bbba2527a187491c,Wed Sep 9 17:57:44 2026 +0200
MeshAdaptation dirty files at build time,/media/rausa/4TB/MeshAdaptation,10,
InterpSolution.py used by the SA cases (sha256),Base_Interp_RANS_SA/InterpSolution.py,d0ca621366e755117d61412bc81965ad3a110e0ef25fcd238a087d3c207604af,
InterpSolution.py used by the SST cases (sha256),Base_Interp_RANS_SST/InterpSolution.py,d0ca621366e755117d61412bc81965ad3a110e0ef25fcd238a087d3c207604af,
FunScripts/InterpSolution_Fun.py used by the SA cases (sha256),Base_Interp_RANS_SA/FunScripts/InterpSolution_Fun.py,5530368696ee491ef6818612cdf669aeb59949697733fe38ea26f759684c3d81,
FunScripts/InterpSolution_Fun.py used by the SST cases (sha256),Base_Interp_RANS_SST/FunScripts/InterpSolution_Fun.py,5530368696ee491ef6818612cdf669aeb59949697733fe38ea26f759684c3d81,
RandomMeshMovements.py used by the SA cases (sha256),Base_Interp_RANS_SA/RandomMeshMovements.py,74cbb8a4e603dd2f3a59145b887a22c1536172b900ed8c3d0ef69bca0503057e,
RandomMeshMovements.py used by the SST cases (sha256),Base_Interp_RANS_SST/RandomMeshMovements.py,74cbb8a4e603dd2f3a59145b887a22c1536172b900ed8c3d0ef69bca0503057e,
FunScripts/RandomMeshMovements_Fun.py used by the SA cases (sha256),Base_Interp_RANS_SA/FunScripts/RandomMeshMovements_Fun.py,25985929d43c869c4b8f5367f6b851d862c5018e7a46f176bfc9ac8f8ee29718,
FunScripts/RandomMeshMovements_Fun.py used by the SST cases (sha256),Base_Interp_RANS_SST/FunScripts/RandomMeshMovements_Fun.py,25985929d43c869c4b8f5367f6b851d862c5018e7a46f176bfc9ac8f8ee29718,
RunCase_UnsteadyAdaptation.sh used by the SA cases (sha256),Base_Interp_RANS_SA/RunCase_UnsteadyAdaptation.sh,ad21fcdb2e2f67c533731297950c1e626ff402099de9195374e382439e865e45,
RunCase_UnsteadyAdaptation.sh used by the SST cases (sha256),Base_Interp_RANS_SST/RunCase_UnsteadyAdaptation.sh,ad21fcdb2e2f67c533731297950c1e626ff402099de9195374e382439e865e45,
FSI.py used by the SA cases (sha256),Base_Interp_RANS_SA/FSI.py,8ed9f85b994789d8a302d58c4bc4f41990e33ba7b431a071ee387f68c1766eb5,
FSI.py used by the SST cases (sha256),Base_Interp_RANS_SST/FSI.py,8ed9f85b994789d8a302d58c4bc4f41990e33ba7b431a071ee387f68c1766eb5,
SA interpolation setting nDim,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,2,
SA interpolation setting SysType,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,NS,
SA interpolation setting TurbModel,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,SA,
SA interpolation setting InterpMethod,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,ConsGalerkinProj,
SA interpolation setting InterpOrder,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,Second,
SA interpolation setting WLSDegree,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,1,
SA interpolation setting FieldsToInterpolate,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,"['Density', 'Momentum_x', 'Momentum_y', 'Energy', 'Nu_Tilde']",
SA interpolation setting MultiplyByRho,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,"[False, False, False, False, True]",
SA interpolation setting RestartName,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,restart_2InterpFrom.dat,
SA interpolation setting MeshName_From,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,Mesh_From.su2,
SA interpolation setting MeshName_To,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,Mesh_To.su2,
SA interpolation setting BoundaryTreatment,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,False,
SA interpolation setting BoundaryPointValue,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,False,
SA interpolation setting PointValueOutput,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,False,
SA interpolation setting EnforceConservation,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,False,
SA interpolation setting ConservationCorrection,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,True,
SA interpolation setting CheckConservation,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,True,
SA interpolation setting UseLimiter,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,False,
SA interpolation setting LimiterType,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,NishikawaR5,
SA interpolation setting GalerkinLimit,RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/Logs/InterpSolution_00008.out,True,
