model,setting,method,production_event,displacement_file,md5,md5_production,check
SA,production,GP2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,production,GP2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,production,GP2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,production,NN2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,production,NN2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,production,NN2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,cap1600,GP2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,cap1600,GP2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,cap1600,GP2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,cap1600,NN2,9,Displacement_00009.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,cap1600,NN2,19,Displacement_00019.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,cap1600,NN2,29,Displacement_00029.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,halfstep,GP2,9,Displacement_00019.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,halfstep,GP2,19,Displacement_00039.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,halfstep,GP2,29,Displacement_00059.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,halfstep,NN2,9,Displacement_00019.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,halfstep,NN2,19,Displacement_00039.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,halfstep,NN2,29,Displacement_00059.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,quarterstep,GP2,9,Displacement_00039.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,quarterstep,GP2,19,Displacement_00079.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
SA,quarterstep,GP2,29,Displacement_00119.npz,deffd0f0b717ac934d8f23bd5a9af535,deffd0f0b717ac934d8f23bd5a9af535,identical
SA,quarterstep,NN2,9,Displacement_00039.npz,c0aa928b58a5cdcf6d58b96453332c83,c0aa928b58a5cdcf6d58b96453332c83,identical
SA,quarterstep,NN2,19,Displacement_00079.npz,bcd21f9260d7e47ba96f556066694f59,bcd21f9260d7e47ba96f556066694f59,identical
