model,setting,quantity,coeff,n_steps,first,last,rms,max_abs,endpoint,rms_of_production_signal,rms_change_over_production_rms,max_change_over_production_max
SA,production,GP2,CL,39,2,40,2.6287e-04,5.0585e-04,2.7047e-04,,,
SA,production,GP2,CD,39,2,40,6.5945e-05,1.0976e-04,7.8642e-05,,,
SA,production,GP2,CDp,39,2,40,6.5816e-05,1.0979e-04,7.8486e-05,,,
SA,production,GP2,CDv,39,2,40,2.1156e-07,5.7426e-07,1.5665e-07,,,
SA,production,NN2,CL,39,2,40,2.5978e-04,5.1050e-04,2.4323e-04,,,
SA,production,NN2,CD,39,2,40,6.6334e-05,1.1062e-04,7.5537e-05,,,
SA,production,NN2,CDp,39,2,40,6.6213e-05,1.1072e-04,7.5462e-05,,,
SA,production,NN2,CDv,39,2,40,2.1770e-07,5.9668e-07,7.6795e-08,,,
SA,production,P,CL,39,2,40,1.2675e-05,4.6771e-05,-2.7235e-05,,,
SA,production,P,CD,39,2,40,2.2158e-06,6.0325e-06,-3.1041e-06,,,
SA,production,P,CDp,39,2,40,2.1982e-06,5.9599e-06,-3.0242e-06,,,
SA,production,P,CDv,39,2,40,3.1953e-08,7.9852e-08,-7.9852e-08,,,
SA,cap1600,GP2,CL,38,2,39,2.6244e-04,5.0617e-04,3.6019e-04,,,
SA,cap1600,GP2,CD,38,2,39,6.5526e-05,1.0953e-04,9.5050e-05,,,
SA,cap1600,GP2,CDp,38,2,39,6.5395e-05,1.0955e-04,9.5066e-05,,,
SA,cap1600,GP2,CDv,38,2,39,2.1542e-07,5.8187e-07,-9.7577e-09,,,
SA,cap1600,NN2,CL,38,2,39,2.6026e-04,5.1050e-04,3.1714e-04,,,
SA,cap1600,NN2,CD,38,2,39,6.6063e-05,1.1066e-04,8.9998e-05,,,
SA,cap1600,NN2,CDp,38,2,39,6.5943e-05,1.1075e-04,9.0073e-05,,,
SA,cap1600,NN2,CDv,38,2,39,2.1699e-07,5.8762e-07,-6.9659e-08,,,
SA,cap1600,P,CL,38,2,39,1.1252e-05,4.3056e-05,-4.3056e-05,,,
SA,cap1600,P,CD,38,2,39,2.1140e-06,5.1427e-06,-5.0525e-06,,,
SA,cap1600,P,CDp,38,2,39,2.1078e-06,5.1134e-06,-4.9928e-06,,,
SA,cap1600,P,CDv,38,2,39,2.6849e-08,7.2289e-08,-5.9901e-08,,,
SA,finemesh,GP2,CL,38,2,39,1.0765e-04,2.6122e-04,2.6122e-04,,,
SA,finemesh,GP2,CD,38,2,39,5.3847e-05,8.5073e-05,8.5073e-05,,,
SA,finemesh,GP2,CDp,38,2,39,5.3771e-05,8.4468e-05,8.4468e-05,,,
SA,finemesh,GP2,CDv,38,2,39,2.2198e-07,6.0564e-07,6.0564e-07,,,
SA,finemesh,NN2,CL,38,2,39,1.0661e-04,2.6241e-04,2.6241e-04,,,
SA,finemesh,NN2,CD,38,2,39,5.3913e-05,8.6180e-05,8.6180e-05,,,
SA,finemesh,NN2,CDp,38,2,39,5.3834e-05,8.5590e-05,8.5590e-05,,,
SA,finemesh,NN2,CDv,38,2,39,2.1434e-07,5.9023e-07,5.9023e-07,,,
SA,finemesh,P,CL,38,2,39,8.7701e-06,2.6501e-05,1.1834e-06,,,
SA,finemesh,P,CD,38,2,39,9.9421e-07,2.9016e-06,1.1066e-06,,,
SA,finemesh,P,CDp,38,2,39,9.9710e-07,2.9327e-06,1.1227e-06,,,
SA,finemesh,P,CDv,38,2,39,1.8483e-08,4.4873e-08,-1.5413e-08,,,
SA,cap1600 - production,GP2,CL,38,2,39,6.5316e-07,3.2314e-06,-8.4570e-07,2.6267e-04,0.002,0.006
SA,cap1600 - production,GP2,CD,38,2,39,1.3316e-07,7.2450e-07,-7.2450e-07,6.5577e-05,0.002,0.007
SA,cap1600 - production,GP2,CDp,38,2,39,1.3346e-07,7.1969e-07,-7.1969e-07,6.5450e-05,0.002,0.007
SA,cap1600 - production,GP2,CDv,38,2,39,7.6850e-09,1.8181e-08,-4.7932e-09,2.1281e-07,0.036,0.032
SA,cap1600 - production,NN2,CL,38,2,39,8.7936e-07,3.0403e-06,2.8687e-06,2.6020e-04,0.003,0.006
SA,cap1600 - production,NN2,CD,38,2,39,6.6917e-08,2.5544e-07,2.5544e-07,6.6075e-05,0.001,0.002
SA,cap1600 - production,NN2,CDp,38,2,39,6.3585e-08,2.4741e-07,2.4741e-07,6.5952e-05,0.001,0.002
SA,cap1600 - production,NN2,CDv,38,2,39,5.2881e-09,2.0359e-08,8.8128e-09,2.2020e-07,0.024,0.034
SA,cap1600 - production,P,CL,38,2,39,1.3177e-06,4.6899e-06,3.7144e-06,1.2056e-05,0.109,0.100
SA,cap1600 - production,P,CD,38,2,39,1.8343e-07,9.7994e-07,9.7994e-07,2.1875e-06,0.084,0.162
SA,cap1600 - production,P,CDp,38,2,39,1.8186e-07,9.6710e-07,9.6710e-07,2.1722e-06,0.084,0.162
SA,cap1600 - production,P,CDv,38,2,39,1.1005e-08,3.0923e-08,1.3606e-08,2.9666e-08,0.371,0.421
SA,finemesh - production,GP2,CL,38,2,39,1.9708e-04,4.5141e-04,-9.9818e-05,2.6267e-04,0.750,0.892
SA,finemesh - production,GP2,CD,38,2,39,2.1047e-05,4.5072e-05,-1.0701e-05,6.5577e-05,0.321,0.411
SA,finemesh - production,GP2,CDp,38,2,39,2.0945e-05,4.4622e-05,-1.1318e-05,6.5450e-05,0.320,0.406
SA,finemesh - production,GP2,CDv,38,2,39,3.4299e-07,7.5635e-07,6.1061e-07,2.1281e-07,1.612,1.317
SA,finemesh - production,NN2,CL,38,2,39,1.9859e-04,4.4984e-04,-5.1864e-05,2.6020e-04,0.763,0.881
SA,finemesh - production,NN2,CD,38,2,39,2.1863e-05,4.8453e-05,-3.5623e-06,6.6075e-05,0.331,0.438
SA,finemesh - production,NN2,CDp,38,2,39,2.1754e-05,4.7993e-05,-4.2353e-06,6.5952e-05,0.330,0.433
SA,finemesh - production,NN2,CDv,38,2,39,3.6001e-07,7.8750e-07,6.6870e-07,2.2020e-07,1.635,1.320
SA,finemesh - production,P,CL,38,2,39,1.4281e-05,4.7954e-05,4.7954e-05,1.2056e-05,1.185,1.025
SA,finemesh - production,P,CD,38,2,39,2.2598e-06,7.1391e-06,7.1391e-06,2.1875e-06,1.033,1.183
SA,finemesh - production,P,CDp,38,2,39,2.2554e-06,7.0826e-06,7.0826e-06,2.1722e-06,1.038,1.188
SA,finemesh - production,P,CDv,38,2,39,2.6429e-08,7.1203e-08,5.8095e-08,2.9666e-08,0.891,0.969
SST,production,GP2,CL,39,2,40,1.6331e-04,3.9496e-04,-3.6097e-05,,,
SST,production,GP2,CD,39,2,40,5.4299e-05,8.7759e-05,4.6261e-05,,,
SST,production,GP2,CDp,39,2,40,5.5066e-05,8.9198e-05,4.7708e-05,,,
SST,production,GP2,CDv,39,2,40,8.3380e-07,1.4587e-06,-1.4463e-06,,,
SST,production,NN2,CL,39,2,40,1.6329e-04,3.8733e-04,-1.6240e-05,,,
SST,production,NN2,CD,39,2,40,5.4934e-05,8.9994e-05,4.7353e-05,,,
SST,production,NN2,CDp,39,2,40,5.5692e-05,9.1425e-05,4.8838e-05,,,
SST,production,NN2,CDv,39,2,40,8.2698e-07,1.4849e-06,-1.4849e-06,,,
SST,production,P,CL,39,2,40,6.7012e-06,1.9857e-05,1.9857e-05,,,
SST,production,P,CD,39,2,40,1.5769e-06,3.6014e-06,1.0918e-06,,,
SST,production,P,CDp,39,2,40,1.5744e-06,3.5803e-06,1.1299e-06,,,
SST,production,P,CDv,39,2,40,1.6001e-08,3.8557e-08,-3.8557e-08,,,
SST,cap1600,GP2,CL,38,2,39,1.6485e-04,3.8718e-04,5.5082e-05,,,
SST,cap1600,GP2,CD,38,2,39,5.4579e-05,8.8809e-05,6.2680e-05,,,
SST,cap1600,GP2,CDp,38,2,39,5.5478e-05,9.0540e-05,6.4234e-05,,,
SST,cap1600,GP2,CDv,38,2,39,9.5799e-07,1.7269e-06,-1.5514e-06,,,
SST,cap1600,NN2,CL,38,2,39,1.6540e-04,3.8150e-04,5.3618e-05,,,
SST,cap1600,NN2,CD,38,2,39,5.5229e-05,9.1087e-05,6.2711e-05,,,
SST,cap1600,NN2,CDp,38,2,39,5.6119e-05,9.2832e-05,6.4309e-05,,,
SST,cap1600,NN2,CDv,38,2,39,9.5397e-07,1.7475e-06,-1.5964e-06,,,
SST,cap1600,P,CL,38,2,39,5.6821e-06,1.6198e-05,-1.4634e-06,,,
