model,setting,quantity,coeff,step,value
SA,production,GP2,CL,2,0.000000e+00
SA,production,GP2,CL,3,0.000000e+00
SA,production,GP2,CL,4,0.000000e+00
SA,production,GP2,CL,5,0.000000e+00
SA,production,GP2,CL,6,0.000000e+00
SA,production,GP2,CL,7,0.000000e+00
SA,production,GP2,CL,8,0.000000e+00
SA,production,GP2,CL,9,0.000000e+00
SA,production,GP2,CL,10,1.768330e-05
SA,production,GP2,CL,11,2.852310e-05
SA,production,GP2,CL,12,1.642510e-05
SA,production,GP2,CL,13,1.436350e-05
SA,production,GP2,CL,14,2.284640e-05
SA,production,GP2,CL,15,2.799440e-05
SA,production,GP2,CL,16,3.018830e-05
SA,production,GP2,CL,17,2.955000e-05
SA,production,GP2,CL,18,3.634300e-05
SA,production,GP2,CL,19,5.488910e-05
SA,production,GP2,CL,20,2.288502e-04
SA,production,GP2,CL,21,3.938667e-04
SA,production,GP2,CL,22,4.693982e-04
SA,production,GP2,CL,23,5.058511e-04
SA,production,GP2,CL,24,4.751803e-04
SA,production,GP2,CL,25,4.115252e-04
SA,production,GP2,CL,26,3.222949e-04
SA,production,GP2,CL,27,2.691856e-04
SA,production,GP2,CL,28,2.770451e-04
SA,production,GP2,CL,29,3.246820e-04
SA,production,GP2,CL,30,2.694073e-04
SA,production,GP2,CL,31,2.380780e-04
SA,production,GP2,CL,32,2.091674e-04
SA,production,GP2,CL,33,2.518612e-04
SA,production,GP2,CL,34,3.111924e-04
SA,production,GP2,CL,35,3.729607e-04
SA,production,GP2,CL,36,4.275309e-04
SA,production,GP2,CL,37,4.526582e-04
SA,production,GP2,CL,38,4.300272e-04
SA,production,GP2,CL,39,3.610404e-04
SA,production,GP2,CL,40,2.704695e-04
SA,production,GP2,CD,2,0.000000e+00
SA,production,GP2,CD,3,0.000000e+00
SA,production,GP2,CD,4,0.000000e+00
SA,production,GP2,CD,5,0.000000e+00
SA,production,GP2,CD,6,0.000000e+00
SA,production,GP2,CD,7,0.000000e+00
SA,production,GP2,CD,8,0.000000e+00
SA,production,GP2,CD,9,0.000000e+00
SA,production,GP2,CD,10,3.097857e-05
SA,production,GP2,CD,11,4.777336e-05
SA,production,GP2,CD,12,4.347602e-05
SA,production,GP2,CD,13,3.523463e-05
SA,production,GP2,CD,14,3.126558e-05
SA,production,GP2,CD,15,3.177086e-05
SA,production,GP2,CD,16,3.472501e-05
SA,production,GP2,CD,17,3.807090e-05
SA,production,GP2,CD,18,4.102956e-05
SA,production,GP2,CD,19,4.346286e-05
SA,production,GP2,CD,20,5.287288e-05
SA,production,GP2,CD,21,6.924281e-05
SA,production,GP2,CD,22,8.137303e-05
SA,production,GP2,CD,23,9.415777e-05
SA,production,GP2,CD,24,9.677065e-05
SA,production,GP2,CD,25,9.131438e-05
SA,production,GP2,CD,26,7.785338e-05
SA,production,GP2,CD,27,7.007010e-05
SA,production,GP2,CD,28,7.220178e-05
SA,production,GP2,CD,29,7.878617e-05
SA,production,GP2,CD,30,7.148363e-05
SA,production,GP2,CD,31,8.115421e-05
SA,production,GP2,CD,32,8.105100e-05
SA,production,GP2,CD,33,8.421980e-05
SA,production,GP2,CD,34,8.719520e-05
SA,production,GP2,CD,35,9.527420e-05
SA,production,GP2,CD,36,1.049684e-04
SA,production,GP2,CD,37,1.097616e-04
