model,what,difference,n,CL_original,CL_moved,dCL,CD_original,CD_moved,dCD,CDp_original,CDp_moved,dCDp,CDv_original,CDv_moved,dCDv,CMz_original,CMz_moved,dCMz
SA,steady,moved - original,19999,0.676257,0.676948,6.912e-04,0.010229,0.010335,1.054e-04,0.003559,0.003663,1.040e-04,0.006671,0.006672,1.000e-06,0.000671,0.000854,1.834e-04
SA,unsteady 100..399,moved - original,300,0.676257,0.676957,7.002e-04 (trend -9.9e-07 ± 5.2e-07),0.010229,0.010335,1.059e-04 (trend -1.5e-07 ± 1.1e-07),,,,,,,0.000671,0.000856,1.848e-04 (trend -2.5e-07 ± 2.8e-07)
SA,drift case first window 10..19: RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,case - original,10,,,"2.788e-05 (min 1.4e-05, max 5.5e-05)",,,"3.778e-05 (min 3.1e-05, max 4.8e-05)",,,,,,,,,"2.818e-06 (min -1.8e-05, max 2.4e-05)"
SA,drift case first window 10..19: RANS_SA_WD_0.01-20_NN_Drift_Second,case - original,10,,,"2.949e-05 (min 1.6e-05, max 5.2e-05)",,,"3.791e-05 (min 3.2e-05, max 4.9e-05)",,,,,,,,,"3.267e-06 (min -1.7e-05, max 2.4e-05)"
SA,"steady, surface integration",moved - original,0,6.76256047e-01,6.76947028e-01,6.910e-04,1.02279228e-02,1.03332709e-02,1.053e-04,3.55854006e-03,3.66280161e-03,1.043e-04,6.66938273e-03,6.67046931e-03,1.087e-06,,,
SST,steady,moved - original,19999,0.675605,0.676229,6.249e-04,0.009858,0.009945,8.671e-05,0.003469,0.003557,8.800e-05,0.006389,0.006388,-1.000e-06,0.000382,0.000567,1.852e-04
SST,unsteady 100..399,moved - original,300,0.675603,0.676220,6.169e-04 (trend -2.1e-08 ± 1.5e-08),0.009858,0.009944,8.574e-05 (trend 3.8e-09 ± 1.2e-08),,,,,,,0.000382,0.000563,1.810e-04 (trend 7.2e-09 ± 3.2e-08)
SST,drift case first window 10..19: RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,case - original,10,,,"-3.706e-05 (min -6.4e-05, max 1.9e-05)",,,"3.548e-05 (min 2.7e-05, max 4.6e-05)",,,,,,,,,"-2.633e-05 (min -5.6e-05, max 1.7e-07)"
SST,drift case first window 10..19: RANS_SST_WD_0.01-20_NN_Drift_Second,case - original,10,,,"-3.500e-05 (min -6.3e-05, max 1.6e-05)",,,"3.569e-05 (min 2.8e-05, max 4.4e-05)",,,,,,,,,"-2.601e-05 (min -5.4e-05, max -1.7e-06)"
SST,"steady, surface integration",moved - original,0,6.75603731e-01,6.76228634e-01,6.249e-04,9.85693984e-03,9.94364771e-03,8.671e-05,3.46917906e-03,3.55662381e-03,8.744e-05,6.38776078e-03,6.38702390e-03,-7.369e-07,,,
