case,model,method,coeff,n_steps,first_step,last_step,ref_mean,offset,scatter,max_abs_dev,trend_per_100,trend_stderr,resolved,trend_pct_per_100,at_breakdown_rounding,lag1_autocorr,trend_stderr_ar1,n_eff,resolved_ar1
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,ConsGalerkinProj,CL,398,2,399,6.762569e-01,7.232e-05,2.098e-04,8.266e-04,-6.742e-05,8.53e-06,yes,-0.0100,no,0.939,4.82e-05,12,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,ConsGalerkinProj,CD,398,2,399,1.022935e-02,5.923e-05,2.544e-05,1.269e-04,-1.252e-06,1.11e-06,no,-0.0122,no,0.930,5.84e-06,14,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,ConsGalerkinProj,CDp,398,2,399,3.559000e-03,5.684e-05,2.556e-05,1.250e-04,-1.345e-06,1.12e-06,no,-0.0378,no,0.931,5.88e-06,14,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,ConsGalerkinProj,CDv,398,2,399,6.671000e-03,1.754e-06,1.418e-06,6.000e-06,6.331e-08,6.19e-08,no,0.0009,no,0.970,5.01e-07,6,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,ConsGalerkinProj,CMz,398,2,399,6.708957e-04,2.747e-05,9.099e-05,3.358e-04,-1.892e-05,3.86e-06,yes,-2.8196,no,0.919,1.89e-05,17,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SA,ConsGalerkinProj,CL,398,2,399,6.762569e-01,-3.523e-05,2.148e-04,6.303e-04,-2.051e-05,9.34e-06,yes,-0.0030,no,0.940,5.30e-05,12,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SA,ConsGalerkinProj,CD,398,2,399,1.022935e-02,5.580e-05,2.397e-05,1.200e-04,3.983e-06,1.03e-06,yes,0.0389,no,0.919,5.01e-06,17,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SA,ConsGalerkinProj,CDp,398,2,399,3.559000e-03,5.430e-05,2.381e-05,1.170e-04,4.274e-06,1.02e-06,yes,0.1201,no,0.917,4.90e-06,17,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SA,ConsGalerkinProj,CDv,398,2,399,6.671000e-03,8.317e-07,2.563e-06,1.300e-05,-3.362e-07,1.11e-07,yes,-0.0050,no,0.986,1.34e-06,3,no
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,SA,ConsGalerkinProj,CMz,398,2,399,6.708957e-04,9.099e-06,9.410e-05,2.779e-04,-2.344e-06,4.11e-06,no,-0.3494,no,0.919,2.00e-05,17,no
