run,physical_steps,inner_iters_min,inner_iters_max,steps_at_inner_cap,log10_rms_rho_start_min,start_median,start_max,log10_rms_rho_end_min,end_median,end_max,linsol_iters_min,linsol_iters_median,linsol_iters_max,log10_linsol_res_min,median,max,INNER_ITER,CONV_RESIDUAL_MINVAL,CONV_STARTITER,LINEAR_SOLVER_ITER,LINEAR_SOLVER_ERROR
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,398,10,799,144,-12.28,-7.39,-6.39,-12.19,-12.00,-9.12,9,10,10,-8.80,-8.43,-8.00,800,-12,10,60,1E-8
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,398,10,799,169,-12.28,-7.36,-6.33,-12.19,-12.00,-9.70,9,9,10,-8.82,-8.31,-8.00,800,-12,10,60,1E-8
RANS_SA_WD_0.01-20_NN_Drift_Second,398,10,799,156,-12.28,-7.35,-6.41,-12.19,-12.00,-9.21,9,10,10,-8.85,-8.41,-8.00,800,-12,10,60,1E-8
RANS_SA_WD_0.01-20_NN_Drift_Seed2_Second,398,10,799,171,-12.28,-7.34,-6.24,-12.19,-12.00,-9.32,9,10,10,-8.84,-8.37,-8.00,800,-12,10,60,1E-8
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,398,10,305,0,-12.41,-9.88,-7.18,-12.99,-12.32,-12.00,9,10,12,-8.80,-8.22,-8.00,800,-12,10,60,1E-8
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,398,10,200,0,-12.41,-9.72,-7.06,-12.73,-12.29,-12.00,9,10,12,-8.78,-8.31,-8.01,800,-12,10,60,1E-8
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,398,10,158,0,-12.41,-10.05,-7.36,-12.75,-12.31,-12.00,9,10,11,-8.78,-8.30,-8.01,800,-12,10,60,1E-8
RANS_SA_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,798,10,88,0,-12.61,-10.54,-7.62,-12.74,-12.44,-12.00,9,10,12,-8.78,-8.57,-8.01,800,-12,10,60,1E-8
RANS_SA_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,398,10,129,0,-12.41,-10.05,-7.50,-12.85,-12.31,-12.00,9,10,12,-8.78,-8.31,-8.01,800,-12,10,60,1E-8
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,398,10,799,333,-12.06,-7.39,-6.56,-12.08,-11.10,-10.11,8,9,11,-8.82,-8.30,-8.00,800,-12,10,60,1E-8
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Seed2_Second,398,10,799,284,-12.06,-7.37,-6.31,-12.08,-11.31,-9.46,8,9,11,-8.86,-8.40,-8.00,800,-12,10,60,1E-8
RANS_SST_WD_0.01-20_NN_Drift_Second,398,10,799,323,-12.06,-7.36,-6.51,-12.08,-11.24,-9.52,9,9,11,-8.86,-8.36,-8.00,800,-12,10,60,1E-8
RANS_SST_WD_0.01-20_NN_Drift_Seed2_Second,398,10,799,277,-12.06,-7.35,-6.34,-12.08,-11.24,-9.34,8,9,11,-8.87,-8.41,-8.00,800,-12,10,60,1E-8
RANS_SST_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,398,10,270,0,-12.06,-9.88,-7.18,-12.26,-12.10,-12.00,10,10,11,-8.71,-8.16,-8.01,800,-12,10,60,1E-8
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,398,10,218,0,-12.06,-9.74,-7.07,-12.24,-12.10,-12.00,10,11,12,-8.75,-8.25,-8.00,800,-12,10,60,1E-8
RANS_SST_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,398,10,185,0,-12.06,-10.05,-7.37,-12.22,-12.10,-12.00,10,11,11,-8.76,-8.24,-8.03,800,-12,10,60,1E-8
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,798,10,91,0,-12.06,-10.65,-7.64,-12.34,-12.15,-12.00,9,10,12,-8.73,-8.52,-8.00,800,-12,10,60,1E-8
RANS_SST_WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,398,10,151,0,-12.06,-10.07,-7.51,-12.24,-12.10,-12.00,10,10,12,-8.78,-8.31,-8.01,800,-12,10,60,1E-8
Unsteady_Ref_RANS_SA_Long,798,10,10,0,-12.78,-12.50,-12.11,-12.81,-12.54,-12.12,9,10,10,-8.78,-8.43,-8.01,800,-12,10,60,1E-8
Unsteady_Ref_RANS_SST_Long,798,10,10,0,-12.08,-12.03,-11.34,-12.27,-12.17,-12.06,8,9,11,-8.72,-8.24,-8.00,800,-12,10,60,1E-8
