case,event,movable_nodes,max_displacement,corner_area_ratio_min,corner_area_ratio_median,nodes_reduced_by_backoff
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00009,12602,2.389e-01,0.4868,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00019,12602,2.268e-01,0.4614,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00029,12602,2.589e-01,0.4547,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00039,12602,2.768e-01,0.4622,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00049,12602,2.560e-01,0.4553,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00059,12602,2.313e-01,0.4902,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00069,12602,2.355e-01,0.4872,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00079,12602,2.605e-01,0.4666,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00089,12602,2.273e-01,0.4715,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00099,12602,2.607e-01,0.4991,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00109,12602,2.757e-01,0.4858,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00119,12602,2.562e-01,0.4883,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00129,12602,2.730e-01,0.5127,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00139,12602,2.499e-01,0.4439,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00149,12602,2.609e-01,0.4912,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00159,12602,2.494e-01,0.5037,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00169,12602,2.373e-01,0.5228,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00179,12602,2.570e-01,0.4547,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00189,12602,2.409e-01,0.4892,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00199,12602,2.406e-01,0.5099,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00209,12602,2.364e-01,0.4739,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00219,12602,2.603e-01,0.4546,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00229,12602,2.803e-01,0.4600,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00239,12602,2.613e-01,0.5039,1.0000,0
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,00249,12602,2.602e-01,0.4737,1.0000,0
