model,coeff,threshold,n_cases,C,b,R2,C_over_predicted
SA,CL,0.01,3,0.0,0.00,nan,0.000
SA,CL,0.05,3,0.0,0.00,nan,0.000
SA,CL,0.1,3,7.1,-0.50,0.8929,2.480
SA,CL,0.25,3,8.6,-0.00,0.4286,2.976
SA,CL,0.5,3,21.4,-0.50,0.8929,7.441
SA,CDp,0.01,3,0.0,0.00,nan,0.000
SA,CDp,0.05,3,0.0,0.00,nan,0.000
SA,CDp,0.1,3,0.0,0.00,nan,0.000
SA,CDp,0.25,3,-5.7,1.00,0.5714,-1.984
SA,CDp,0.5,3,-7.1,1.50,0.8929,-2.480
SST,CL,0.01,3,0.0,0.00,nan,0.000
SST,CL,0.05,3,0.0,0.00,nan,0.000
SST,CL,0.1,3,7.1,-0.50,0.8929,2.480
SST,CL,0.25,3,8.6,-0.00,0.4286,2.976
SST,CL,0.5,3,20.0,-0.00,1.0000,6.944
SST,CDp,0.01,3,-5.7,1.00,0.5714,-1.984
SST,CDp,0.05,3,-5.7,1.00,0.5714,-1.984
SST,CDp,0.1,3,-5.7,1.00,0.5714,-1.984
SST,CDp,0.25,3,-5.7,1.00,0.5714,-1.984
SST,CDp,0.5,3,1.4,0.50,0.0357,0.496
