case,model,coeff,d_in,d_out,event,window,pre_floor,leak,peak,peak_lag,censored,at_breakdown_rounding,lag_1pct,lag_5pct,lag_10pct,lag_25pct,lag_50pct,predicted_lag
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,CL,0.05,0.1,200,199,0.00e+00,2.31e-05,9.849e-05,199,yes,no,0,0,0,1,1,0.14
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,CD,0.05,0.1,200,199,0.00e+00,4.85e-07,9.276e-06,4,no,no,0,0,1,1,1,0.14
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,CDp,0.05,0.1,200,199,0.00e+00,1.00e-06,9.000e-06,3,no,yes,0,0,0,1,1,0.14
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,CDv,0.05,0.1,200,199,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.14
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,CMz,0.05,0.1,200,199,0.00e+00,1.01e-05,2.612e-05,3,no,no,0,0,0,0,1,0.14
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,CL,0.1,0.15,200,199,0.00e+00,4.33e-05,1.276e-04,199,yes,no,0,0,0,0,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,CD,0.1,0.15,200,199,0.00e+00,2.65e-06,1.172e-05,2,no,no,0,0,0,1,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,CDp,0.1,0.15,200,199,0.00e+00,2.00e-06,1.100e-05,2,no,yes,0,0,0,1,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,CDv,0.1,0.15,200,199,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,CMz,0.1,0.15,200,199,0.00e+00,1.38e-05,3.078e-05,2,no,no,0,0,0,0,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,CL,0.1,0.15,200,199,0.00e+00,2.04e-05,6.653e-05,199,yes,no,0,0,0,0,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,CD,0.1,0.15,200,199,0.00e+00,2.19e-06,5.536e-06,2,no,no,0,0,0,0,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,CDp,0.1,0.15,200,199,0.00e+00,2.00e-06,5.000e-06,2,no,yes,0,0,0,0,1,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,CDv,0.1,0.15,200,199,0.00e+00,0.00e+00,0.000e+00,0,no,yes,,,,,,0.29
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,CMz,0.1,0.15,200,199,0.00e+00,5.31e-06,1.253e-05,2,no,no,0,0,0,0,1,0.29
RANS_SA_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SA,CL,0.2,0.25,400,399,0.00e+00,1.06e-05,2.581e-05,399,yes,no,0,0,0,0,1,0.58
RANS_SA_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SA,CD,0.2,0.25,400,399,0.00e+00,1.85e-06,2.631e-06,1,no,no,0,0,0,0,0,0.58
