case,model,step,steps_after_event,dCL,dCD,dCDp,dCDv,dCMz
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,200,0,2.308740e-05,-4.854800e-07,-1.000000e-06,0.000000e+00,1.012513e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,201,1,6.570910e-05,5.952470e-06,5.000000e-06,0.000000e+00,2.166997e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,202,2,8.597470e-05,8.564430e-06,8.000000e-06,0.000000e+00,2.530888e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,203,3,9.090840e-05,9.095160e-06,9.000000e-06,0.000000e+00,2.612016e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,204,4,8.645550e-05,9.275970e-06,9.000000e-06,0.000000e+00,2.580457e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,205,5,7.704090e-05,8.899770e-06,8.000000e-06,0.000000e+00,2.437434e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,206,6,6.795130e-05,7.976840e-06,8.000000e-06,0.000000e+00,2.264923e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,207,7,6.310430e-05,7.358890e-06,7.000000e-06,0.000000e+00,2.134120e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,208,8,6.236320e-05,7.179150e-06,7.000000e-06,0.000000e+00,2.097717e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,209,9,6.434510e-05,7.214430e-06,7.000000e-06,0.000000e+00,2.135766e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,210,10,6.746690e-05,7.389140e-06,7.000000e-06,0.000000e+00,2.207711e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,211,11,7.044830e-05,7.597660e-06,7.000000e-06,0.000000e+00,2.275552e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,212,12,7.248800e-05,7.717010e-06,7.000000e-06,0.000000e+00,2.322808e-05
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,213,13,7.400180e-05,7.777570e-06,7.000000e-06,0.000000e+00,2.358350e-05
