case,model,d,shell_r,nodes,travel,predicted_lag,peak,onset_2pct,onset_5pct,onset_10pct,onset_25pct,onset_50pct,onset_75pct
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,0.05,0.005,4444,0.045,45,3.392e-07,0,0,0,0,0,1
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,0.05,0.01,1556,0.040,40,3.332e-07,0,0,0,0,0,0
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,0.05,0.02,839,0.030,30,5.378e-07,0,0,0,0,0,0
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,0.05,0.04,548,0.010,10,7.989e-07,0,0,0,0,0,0
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,0.1,0.005,4444,0.095,95,3.906e-07,0,0,0,1,1,1
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,0.1,0.01,1556,0.090,90,4.902e-07,0,0,0,1,1,1
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,0.1,0.02,839,0.080,80,5.238e-07,0,0,0,0,1,1
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,0.1,0.04,548,0.060,60,4.023e-07,0,0,0,0,0,0
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,0.1,0.06,418,0.040,40,6.139e-07,0,0,0,0,0,0
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,0.1,0.08,335,0.020,20,5.678e-07,0,0,0,0,0,0
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,0.1,0.005,4444,0.095,95,1.307e-07,0,0,0,1,1,1
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,0.1,0.01,1556,0.090,90,1.682e-07,0,0,0,1,1,1
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,0.1,0.02,839,0.080,80,1.762e-07,0,0,0,0,1,1
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,0.1,0.04,548,0.060,60,1.403e-07,0,0,0,0,0,0
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,0.1,0.06,418,0.040,40,2.102e-07,0,0,0,0,0,0
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,0.1,0.08,335,0.020,20,2.321e-07,0,0,0,0,0,0
RANS_SA_WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,SA,0.2,0.005,4444,0.195,195,7.433e-08,0,0,0,1,2,26
