node,x,y,wall_distance_solver,moved_event_00009,in_quad_layer,displacement_event_00009
0,100.000000,0.000000,9.900000e+01,0,0,0.000e+00
1,99.503075,9.956784,9.900502e+01,0,0,0.000e+00
2,98.017250,19.814615,9.902003e+01,0,0,0.000e+00
3,95.557281,29.475517,9.904487e+01,0,0,0.000e+00
4,92.147621,38.843479,9.907928e+01,0,0,0.000e+00
5,87.822159,47.825397,9.912293e+01,0,0,0.000e+00
6,82.623878,56.332005,9.917536e+01,0,0,0.000e+00
7,76.604446,64.278763,9.923604e+01,0,0,0.000e+00
8,69.823685,71.586685,9.930434e+01,0,0,0.000e+00
9,62.348980,78.183151,9.937959e+01,0,0,0.000e+00
10,54.254627,84.002594,9.946100e+01,0,0,0.000e+00
11,45.621067,88.987183,9.954777e+01,0,0,0.000e+00
12,36.534103,93.087372,9.963901e+01,0,0,0.000e+00
13,27.084047,96.262428,9.973380e+01,0,0,0.000e+00
14,17.364819,98.480774,9.983121e+01,0,0,0.000e+00
15,7.473010,99.720383,9.991174e+01,0,0,0.000e+00
16,-2.493069,99.968918,9.994762e+01,0,0,0.000e+00
17,-12.434370,99.223923,9.996577e+01,0,0,0.000e+00
18,-22.252094,97.492790,9.997598e+01,0,0,0.000e+00
19,-31.848665,94.792732,9.998229e+01,0,0,0.000e+00
20,-41.128712,91.150589,9.998655e+01,0,0,0.000e+00
21,-50.000000,86.602539,9.998963e+01,0,0,0.000e+00
22,-58.374367,81.193802,9.999200e+01,0,0,0.000e+00
23,-66.168587,74.978119,9.999386e+01,0,0,0.000e+00
24,-73.305183,68.017273,9.999537e+01,0,0,0.000e+00
25,-79.713249,60.380440,9.999660e+01,0,0,0.000e+00
26,-85.329086,52.143520,9.999761e+01,0,0,0.000e+00
27,-90.096886,43.388374,9.999841e+01,0,0,0.000e+00
28,-93.969261,34.202015,9.999905e+01,0,0,0.000e+00
29,-96.907730,24.675739,9.999952e+01,0,0,0.000e+00
30,-98.883080,14.904226,9.999982e+01,0,0,0.000e+00
31,-99.875694,4.984589,9.999998e+01,0,0,0.000e+00
32,-99.875694,-4.984589,9.999998e+01,0,0,0.000e+00
33,-98.883080,-14.904226,9.999982e+01,0,0,0.000e+00
34,-96.907730,-24.675739,9.999952e+01,0,0,0.000e+00
35,-93.969261,-34.202015,9.999905e+01,0,0,0.000e+00
36,-90.096886,-43.388374,9.999841e+01,0,0,0.000e+00
37,-85.329086,-52.143520,9.999761e+01,0,0,0.000e+00
38,-79.713249,-60.380440,9.999660e+01,0,0,0.000e+00
39,-73.305183,-68.017273,9.999537e+01,0,0,0.000e+00
40,-66.168587,-74.978119,9.999386e+01,0,0,0.000e+00
41,-58.374367,-81.193802,9.999200e+01,0,0,0.000e+00
42,-50.000000,-86.602539,9.998963e+01,0,0,0.000e+00
43,-41.128712,-91.150589,9.998655e+01,0,0,0.000e+00
44,-31.848665,-94.792732,9.998229e+01,0,0,0.000e+00
45,-22.252094,-97.492790,9.997598e+01,0,0,0.000e+00
46,-12.434370,-99.223923,9.996577e+01,0,0,0.000e+00
47,-2.493069,-99.968918,9.994762e+01,0,0,0.000e+00
48,7.473010,-99.720383,9.991174e+01,0,0,0.000e+00
49,17.364819,-98.480774,9.983121e+01,0,0,0.000e+00
50,27.084047,-96.262428,9.973380e+01,0,0,0.000e+00
51,36.534103,-93.087372,9.963901e+01,0,0,0.000e+00
52,45.621067,-88.987183,9.954777e+01,0,0,0.000e+00
53,54.254627,-84.002594,9.946100e+01,0,0,0.000e+00
54,62.348980,-78.183151,9.937959e+01,0,0,0.000e+00
55,69.823685,-71.586685,9.930434e+01,0,0,0.000e+00
56,76.604446,-64.278763,9.923604e+01,0,0,0.000e+00
57,82.623878,-56.332005,9.917536e+01,0,0,0.000e+00
58,87.822159,-47.825397,9.912293e+01,0,0,0.000e+00
59,92.147621,-38.843479,9.907928e+01,0,0,0.000e+00
60,95.557281,-29.475517,9.904487e+01,0,0,0.000e+00
61,98.017250,-19.814615,9.902003e+01,0,0,0.000e+00
62,99.503075,-9.956784,9.900502e+01,0,0,0.000e+00
63,1.000000,0.000000,0.000000e+00,0,1,0.000e+00
64,0.997966,-0.000288,0.000000e+00,0,1,0.000e+00
65,0.995782,-0.000597,0.000000e+00,0,1,0.000e+00
66,0.993438,-0.000927,0.000000e+00,0,1,0.000e+00
67,0.990924,-0.001280,0.000000e+00,0,1,0.000e+00
68,0.988228,-0.001658,7.665748e-18,0,1,0.000e+00
69,0.985337,-0.002061,7.666467e-18,0,1,0.000e+00
70,0.982239,-0.002492,0.000000e+00,0,1,0.000e+00
71,0.978921,-0.002951,0.000000e+00,0,1,0.000e+00
