family,log,quantity,dimensional,reference,unit,non_dimensional,user_time_steps_s,reference_time_s,reference_velocity_m_s
RANS SA reference,Unsteady_Ref_RANS_SA_Long/log,Density,3.18973,3.18973,kg/m^3,1,0.001.,,
RANS SA reference,Unsteady_Ref_RANS_SA_Long/log,Temperature,300,300,K,1,0.001.,,
RANS SA reference,Unsteady_Ref_RANS_SA_Long/log,Time Step,0.001,0.00287999,s,0.347224,0.001.,,
RANS SST reference,Unsteady_Ref_RANS_SST_Long/log,Density,3.18973,3.18973,kg/m^3,1,0.001.,,
RANS SST reference,Unsteady_Ref_RANS_SST_Long/log,Temperature,300,300,K,1,0.001.,,
RANS SST reference,Unsteady_Ref_RANS_SST_Long/log,Time Step,0.001,0.00287999,s,0.347224,0.001.,,
RANS SA drift case (start-up + windows),RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Density,3.18973,3.18973,kg/m^3,1,"0.0001., 0.001.",,
RANS SA drift case (start-up + windows),RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Temperature,300,300,K,1,"0.0001., 0.001.",,
RANS SA drift case (start-up + windows),RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Time Step,0.0001,0.00287999,s,0.0347224,"0.0001., 0.001.",,
RANS SA drift case (start-up + windows),RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Time Step,0.001,0.00287999,s,0.347224,"0.0001., 0.001.",,
RANS SST drift case (start-up + windows),RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Density,3.18973,3.18973,kg/m^3,1,"0.0001., 0.001.",,
RANS SST drift case (start-up + windows),RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Temperature,300,300,K,1,"0.0001., 0.001.",,
RANS SST drift case (start-up + windows),RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Time Step,0.0001,0.00287999,s,0.0347224,"0.0001., 0.001.",,
RANS SST drift case (start-up + windows),RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second/log,Time Step,0.001,0.00287999,s,0.347224,"0.0001., 0.001.",,
Euler reference (Part I),Unsteady_Ref/log,Density,1,1,kg/m^3,1,0.001.,,
Euler reference (Part I),Unsteady_Ref/log,Temperature,1,1,K,1,0.001.,,
Euler reference (Part I),Unsteady_Ref/log,Time Step,0.001,1,s,0.001,0.001.,,
