case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.000000,0.000000,0.000000e+00,0.000000e+00,-7.490265e-01,-7.490265e-01,2.4791,2.4791
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.000032,0.000999,9.795321e-04,9.795321e-04,-8.408254e-01,-8.408254e-01,2.5618,2.5618
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.000140,0.002094,2.128118e-03,2.128118e-03,-1.087540e+00,-1.087540e+00,2.6379,2.6379
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.000346,0.003286,3.390762e-03,3.390762e-03,-1.381169e+00,-1.381169e+00,2.6736,2.6736
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.000674,0.004575,4.695436e-03,4.695436e-03,-1.644256e+00,-1.644256e+00,2.6856,2.6856
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.001152,0.005959,6.016756e-03,6.016756e-03,-1.888102e+00,-1.888102e+00,2.6912,2.6912
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.001805,0.007431,7.311899e-03,7.311899e-03,-2.084028e+00,-2.084028e+00,2.6937,2.6937
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.002658,0.008982,8.534422e-03,8.534422e-03,-2.245953e+00,-2.245953e+00,2.6936,2.6936
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.003737,0.010605,9.597997e-03,9.597997e-03,-2.350919e+00,-2.350919e+00,2.6847,2.6847
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.005063,0.012288,1.042364e-02,1.042364e-02,-2.413199e+00,-2.413199e+00,2.6619,2.6619
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.006659,0.014024,1.096340e-02,1.096340e-02,-2.434446e+00,-2.434446e+00,2.6231,2.6231
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.008544,0.015805,1.125237e-02,1.125237e-02,-2.418549e+00,-2.418549e+00,2.5738,2.5738
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.010740,0.017625,1.131509e-02,1.131509e-02,-2.379483e+00,-2.379483e+00,2.5155,2.5155
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.013270,0.019481,1.119557e-02,1.119557e-02,-2.318152e+00,-2.318152e+00,2.4510,2.4510
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.016160,0.021369,1.095551e-02,1.095551e-02,-2.247779e+00,-2.247779e+00,2.3845,2.3845
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.019437,0.023288,1.063743e-02,1.063743e-02,-2.166915e+00,-2.166915e+00,2.3180,2.3180
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.023132,0.025234,1.027452e-02,1.027452e-02,-2.084982e+00,-2.084982e+00,2.2531,2.2531
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.027282,0.027208,9.887911e-03,9.887911e-03,-1.999414e+00,-1.999414e+00,2.1903,2.1903
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.031924,0.029206,9.493631e-03,9.493631e-03,-1.917036e+00,-1.917036e+00,2.1302,2.1302
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.037103,0.031227,9.101201e-03,9.101201e-03,-1.834170e+00,-1.834170e+00,2.0728,2.0728
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.042868,0.033268,8.718473e-03,8.718473e-03,-1.755911e+00,-1.755911e+00,2.0183,2.0183
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.049273,0.035326,8.348289e-03,8.348289e-03,-1.678593e+00,-1.678593e+00,1.9664,1.9664
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.056378,0.037395,7.992619e-03,7.992619e-03,-1.605935e+00,-1.605935e+00,1.9171,1.9171
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.064249,0.039470,7.641294e-03,7.641294e-03,-1.534560e+00,-1.534560e+00,1.8688,1.8688
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,0.072960,0.041543,7.227970e-03,7.227970e-03,-1.467327e+00,-1.467327e+00,1.8129,1.8129
