case,model,step,which,field,src_integral,tgt_integral,rel_defect_(tgt-src)/src,src_change_since_prev_event
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,8,bdf2_level,Density,3.136378599932e+04,3.136378599932e+04,2.935e-14,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,8,bdf2_level,Momentum_x,3.119235069001e+03,3.119235068985e+03,-5.024e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,8,bdf2_level,Momentum_y,3.275320982967e+02,3.275320983088e+02,3.695e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,8,bdf2_level,Energy,5.616358237638e+04,5.616358237639e+04,1.878e-14,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,8,bdf2_level,Nu_Tilde,1.588962734081e-03,1.588962730963e-03,-1.962e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,state,Density,3.136378599932e+04,3.136378599932e+04,2.969e-14,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,state,Momentum_x,3.119235069001e+03,3.119235068985e+03,-5.025e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,state,Momentum_y,3.275320982967e+02,3.275320983088e+02,3.695e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,state,Energy,5.616358237638e+04,5.616358237639e+04,1.878e-14,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,9,state,Nu_Tilde,1.588962734081e-03,1.588962730963e-03,-1.962e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,18,bdf2_level,Density,3.136378599932e+04,3.136378599931e+04,-3.298e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,18,bdf2_level,Momentum_x,3.119235068485e+03,3.119235068488e+03,8.768e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,18,bdf2_level,Momentum_y,3.275320978764e+02,3.275320978708e+02,-1.731e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,18,bdf2_level,Energy,5.616358237639e+04,5.616358237636e+04,-4.186e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,18,bdf2_level,Nu_Tilde,1.588962902845e-03,1.588962908730e-03,3.704e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,19,state,Density,3.136378599932e+04,3.136378599931e+04,-3.261e-13,3.213e-14
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,19,state,Momentum_x,3.119235068420e+03,3.119235068424e+03,1.154e-12,-1.861e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,19,state,Momentum_y,3.275320977842e+02,3.275320977784e+02,-1.761e-11,-1.565e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,19,state,Energy,5.616358237639e+04,5.616358237636e+04,-4.139e-13,1.749e-14
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,19,state,Nu_Tilde,1.588962901001e-03,1.588962906902e-03,3.714e-09,1.050e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,28,bdf2_level,Density,3.136378599931e+04,3.136378599930e+04,-4.434e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,28,bdf2_level,Momentum_x,3.119235067796e+03,3.119235067793e+03,-9.128e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,28,bdf2_level,Momentum_y,3.275320920092e+02,3.275320920259e+02,5.088e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,28,bdf2_level,Energy,5.616358237636e+04,5.616358237633e+04,-5.827e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,28,bdf2_level,Nu_Tilde,1.588962656765e-03,1.588962659424e-03,1.674e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,29,state,Density,3.136378599931e+04,3.136378599930e+04,-4.437e-13,-3.025e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,29,state,Momentum_x,3.119235067718e+03,3.119235067715e+03,-9.032e-13,-2.252e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,29,state,Momentum_y,3.275320914531e+02,3.275320914698e+02,5.106e-11,-1.933e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,29,state,Energy,5.616358237636e+04,5.616358237633e+04,-5.803e-13,-4.127e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,29,state,Nu_Tilde,1.588962617898e-03,1.588962620468e-03,1.617e-09,-1.782e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,38,bdf2_level,Density,3.136378599930e+04,3.136378599929e+04,-1.825e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,38,bdf2_level,Momentum_x,3.119235066864e+03,3.119235066867e+03,9.513e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,38,bdf2_level,Momentum_y,3.275320863254e+02,3.275320863246e+02,-2.234e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,38,bdf2_level,Energy,5.616358237633e+04,5.616358237632e+04,-2.095e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,38,bdf2_level,Nu_Tilde,1.588962533078e-03,1.588962538161e-03,3.199e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Density,3.136378599930e+04,3.136378599929e+04,-1.837e-13,-4.263e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Momentum_x,3.119235066760e+03,3.119235066766e+03,1.822e-12,-3.072e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Momentum_y,3.275320856422e+02,3.275320856415e+02,-2.147e-12,-1.774e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Energy,5.616358237633e+04,5.616358237632e+04,-2.094e-13,-5.835e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,39,state,Nu_Tilde,1.588962554944e-03,1.588962560036e-03,3.205e-09,-3.962e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Density,3.136378599929e+04,3.136378599928e+04,-2.862e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Momentum_x,3.119235065962e+03,3.119235065952e+03,-3.190e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Momentum_y,3.275320817909e+02,3.275320817967e+02,1.779e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,48,bdf2_level,Energy,5.616358237631e+04,5.616358237629e+04,-3.954e-13,
