case,model,step,n_fixed,n_fixed_wallband,n_fixed_outer,n_moved,Eddy_Viscosity_band_scale,Eddy_Viscosity_band_rms_rel,Eddy_Viscosity_band_max_rel,Eddy_Viscosity_outer_scale,Eddy_Viscosity_outer_rms_rel,Eddy_Viscosity_outer_max_rel,Nu_Tilde_band_scale,Nu_Tilde_band_rms_rel,Nu_Tilde_band_max_rel,Nu_Tilde_outer_scale,Nu_Tilde_outer_rms_rel,Nu_Tilde_outer_max_rel
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,5,29956,12233,17723,0,8.1682e-06,0.000e+00,0.000e+00,8.7077e-06,0.000e+00,0.000e+00,8.1699e-06,0.000e+00,0.000e+00,8.7094e-06,0.000e+00,0.000e+00
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,10,14275,12233,2042,15681,8.1682e-06,1.295e-04,3.465e-03,2.1745e-08,7.510e-05,3.110e-03,8.1699e-06,1.340e-04,3.768e-03,8.3543e-08,2.656e-05,9.655e-04
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,15,14275,12233,2042,15681,8.1682e-06,4.432e-04,1.013e-02,2.1745e-08,1.109e-04,4.268e-03,8.1699e-06,4.475e-04,1.014e-02,8.3543e-08,4.074e-05,1.324e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,20,14275,12233,2042,15681,8.1682e-06,7.312e-04,1.549e-02,2.1745e-08,1.054e-04,4.151e-03,8.1699e-06,7.363e-04,1.557e-02,8.3543e-08,3.828e-05,1.288e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,25,14275,12233,2042,15681,8.1682e-06,1.070e-03,1.883e-02,2.1745e-08,4.961e-05,1.799e-03,8.1699e-06,1.074e-03,1.890e-02,8.3543e-08,2.266e-05,6.542e-04
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,30,14275,12233,2042,15681,8.1682e-06,1.363e-03,2.105e-02,2.1745e-08,8.295e-05,2.306e-03,8.1698e-06,1.366e-03,2.121e-02,8.3543e-08,3.850e-05,9.272e-04
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,35,14275,12233,2042,15681,8.1682e-06,1.657e-03,2.498e-02,2.1745e-08,8.727e-05,2.862e-03,8.1698e-06,1.661e-03,2.496e-02,8.3543e-08,3.929e-05,8.930e-04
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,40,14275,12233,2042,15681,8.1682e-06,1.903e-03,2.370e-02,2.1745e-08,1.117e-04,3.044e-03,8.1698e-06,1.906e-03,2.371e-02,8.3543e-08,5.737e-05,1.954e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,45,14275,12233,2042,15681,8.1682e-06,2.068e-03,2.358e-02,2.1745e-08,9.349e-05,3.134e-03,8.1698e-06,2.071e-03,2.358e-02,8.3543e-08,4.049e-05,1.153e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,50,14275,12233,2042,15681,8.1682e-06,2.259e-03,2.307e-02,2.1745e-08,5.877e-05,1.724e-03,8.1698e-06,2.262e-03,2.315e-02,8.3543e-08,2.717e-05,6.564e-04
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,55,14275,12233,2042,15681,8.1682e-06,2.445e-03,2.352e-02,2.1745e-08,7.368e-05,1.725e-03,8.1698e-06,2.449e-03,2.352e-02,8.3543e-08,3.820e-05,1.053e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,60,14275,12233,2042,15681,8.1682e-06,2.659e-03,2.377e-02,2.1745e-08,1.731e-04,5.949e-03,8.1698e-06,2.663e-03,2.383e-02,8.3543e-08,7.304e-05,2.119e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,65,14275,12233,2042,15681,8.1682e-06,2.857e-03,2.597e-02,2.1745e-08,1.644e-04,5.916e-03,8.1698e-06,2.862e-03,2.599e-02,8.3543e-08,7.127e-05,2.088e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,70,14275,12233,2042,15681,8.1682e-06,3.025e-03,2.559e-02,2.1745e-08,1.569e-04,4.556e-03,8.1698e-06,3.029e-03,2.578e-02,8.3543e-08,7.152e-05,1.960e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,75,14275,12233,2042,15681,8.1682e-06,3.215e-03,2.693e-02,2.1745e-08,1.675e-04,5.603e-03,8.1698e-06,3.220e-03,2.696e-02,8.3543e-08,6.908e-05,2.127e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,80,14275,12233,2042,15681,8.1682e-06,3.394e-03,2.809e-02,2.1745e-08,1.721e-04,5.431e-03,8.1698e-06,3.398e-03,2.832e-02,8.3543e-08,6.915e-05,2.062e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,85,14275,12233,2042,15681,8.1683e-06,3.521e-03,3.285e-02,2.1745e-08,2.181e-04,6.295e-03,8.1698e-06,3.525e-03,3.281e-02,8.3543e-08,8.453e-05,2.389e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,90,14275,12233,2042,15681,8.1683e-06,3.634e-03,3.041e-02,2.1745e-08,3.301e-04,1.104e-02,8.1698e-06,3.638e-03,3.064e-02,8.3543e-08,1.242e-04,3.439e-03
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,95,14275,12233,2042,15681,8.1683e-06,3.790e-03,3.704e-02,2.1745e-08,3.016e-04,9.346e-03,8.1699e-06,3.794e-03,3.709e-02,8.3543e-08,1.153e-04,3.542e-03
