case,model,step,n_fixed,n_fixed_wallband,n_fixed_outer,n_moved,Eddy_Viscosity_band_scale,Eddy_Viscosity_band_rms_rel,Eddy_Viscosity_band_max_rel,Eddy_Viscosity_outer_scale,Eddy_Viscosity_outer_rms_rel,Eddy_Viscosity_outer_max_rel,Turb_Kin_Energy_band_scale,Turb_Kin_Energy_band_rms_rel,Turb_Kin_Energy_band_max_rel,Turb_Kin_Energy_outer_scale,Turb_Kin_Energy_outer_rms_rel,Turb_Kin_Energy_outer_max_rel,Omega_band_scale,Omega_band_rms_rel,Omega_band_max_rel,Omega_outer_scale,Omega_outer_rms_rel,Omega_outer_max_rel
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,5,23271,8590,14681,0,7.8971e-06,0.000e+00,0.000e+00,7.5674e-06,0.000e+00,0.000e+00,2.0585e-04,0.000e+00,0.000e+00,5.6653e-05,0.000e+00,0.000e+00,5.4367e+05,0.000e+00,0.000e+00,1.8606e+01,0.000e+00,0.000e+00
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,10,10669,8590,2079,12602,7.8971e-06,1.556e-03,4.732e-02,1.7460e-06,6.946e-05,1.923e-03,2.0585e-04,1.305e-04,2.385e-03,1.3563e-06,1.841e-06,4.715e-05,5.4367e+05,2.131e-06,1.534e-04,8.8179e+00,7.007e-08,1.479e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,15,10669,8590,2079,12602,7.8971e-06,2.936e-03,9.286e-02,1.7460e-06,6.723e-05,1.560e-03,2.0585e-04,7.147e-04,1.128e-02,1.3563e-06,1.840e-06,3.731e-05,5.4367e+05,3.266e-06,2.223e-04,8.8179e+00,7.454e-08,1.129e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,20,10669,8590,2079,12602,7.8971e-06,2.939e-03,8.749e-02,1.7460e-06,8.957e-05,2.431e-03,2.0585e-04,7.278e-04,9.754e-03,1.3563e-06,1.918e-06,4.346e-05,5.4367e+05,2.011e-06,4.311e-05,8.8179e+00,9.886e-08,1.508e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,25,10669,8590,2079,12602,7.8971e-06,3.533e-03,1.142e-01,1.7460e-06,9.023e-05,2.871e-03,2.0585e-04,9.787e-04,1.448e-02,1.3563e-06,1.908e-06,5.471e-05,5.4367e+05,2.643e-06,6.571e-05,8.8179e+00,1.015e-07,1.734e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,30,10669,8590,2079,12602,7.8971e-06,2.743e-03,8.071e-02,1.7460e-06,1.755e-04,6.732e-03,2.0585e-04,7.060e-04,9.086e-03,1.3563e-06,3.535e-06,1.278e-04,5.4367e+05,2.893e-06,6.518e-05,8.8179e+00,1.485e-07,3.911e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,35,10669,8590,2079,12602,7.8971e-06,2.641e-03,1.096e-01,1.7460e-06,1.533e-04,5.586e-03,2.0585e-04,8.192e-04,9.587e-03,1.3563e-06,3.247e-06,1.056e-04,5.4367e+05,3.085e-06,6.334e-05,8.8179e+00,1.346e-07,2.970e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,40,10669,8590,2079,12602,7.8971e-06,2.667e-03,6.504e-02,1.7460e-06,1.121e-04,3.272e-03,2.0585e-04,7.342e-04,7.129e-03,1.3563e-06,2.625e-06,6.806e-05,5.4367e+05,3.289e-06,6.609e-05,8.8179e+00,1.388e-07,2.078e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,45,10669,8590,2079,12602,7.8971e-06,2.985e-03,7.544e-02,1.7460e-06,8.175e-05,2.229e-03,2.0585e-04,8.177e-04,1.134e-02,1.3563e-06,1.949e-06,4.136e-05,5.4367e+05,3.533e-06,6.160e-05,8.8179e+00,1.227e-07,2.057e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,50,10669,8590,2079,12602,7.8971e-06,2.751e-03,6.972e-02,1.7460e-06,1.237e-04,3.402e-03,2.0585e-04,6.215e-04,7.231e-03,1.3563e-06,3.497e-06,1.084e-04,5.4367e+05,4.873e-06,2.557e-04,8.8179e+00,1.502e-07,3.511e-06
