grid,dim,solution,interp_order,method,resolution,n_points,h,field,geom_defect,supermesh_defect
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,Density,1.6952696099007783e-06,nan
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,Momentum_x,1.7465823343782363e-05,nan
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,Momentum_y,1.7465823343782363e-05,nan
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,Energy,1.2723457308296685e-06,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,Density,3.0456157418634803e-05,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,Momentum_x,0.001208791546896272,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,Momentum_y,0.001208791546896272,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,Energy,6.067064508312207e-05,nan
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,Density,1.4117752665614686e-05,nan
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,Momentum_x,0.00045499386845163607,nan
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,Momentum_y,0.00045499386845163607,nan
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,Energy,2.5230836867135015e-05,nan
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,Density,1.793420587825272e-05,nan
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,Momentum_x,0.0006138749091128333,nan
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,Momentum_y,0.0006138749091128333,nan
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,Energy,3.3133789999975264e-05,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,Density,1.7906069428771052e-06,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,Momentum_x,7.287478947509429e-05,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,Momentum_y,7.287478947509429e-05,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,Energy,3.6222921439082853e-06,nan
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Density,3.599889542037932e-08,nan
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_x,3.909371778553485e-07,nan
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Momentum_y,3.909371778553485e-07,nan
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Energy,4.309425202213068e-08,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Density,1.3986511049045751e-05,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_x,0.00035701103938333027,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Momentum_y,0.00035701103938333027,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,64,6073,0.012832118438741323,Energy,2.2565496121465106e-05,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Density,2.8717642676715483e-06,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_x,0.00012602189404428682,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Momentum_y,0.00012602189404428682,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,128,24408,0.006400794772021405,Energy,6.054078906510984e-06,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Density,2.5222858072456385e-07,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_x,9.866875937592738e-06,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Momentum_y,9.866875937592738e-06,nan
Mixed,2,Asym,SecondOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,Energy,4.976920473756248e-07,nan
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,Density,1.2630471984827472e-05,nan
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,Momentum_x,0.00018679017152594866,nan
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,Momentum_y,0.00018679017152594866,nan
Mixed,2,Asym,SecondOrder,NN,64,6073,0.012832118438741323,Energy,6.6155885057030915e-06,nan
