grid,dim,solution,interp_order,method,resolution,n_points,h,h_nominal,case,ref_source,field,L1,L2,Linf,rel_L1,rel_L2,rel_Linf,order_L2
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_FirstOrder_NN_64,reference_file,Density,0.019384616678740727,0.025907731511538263,0.11214571661717043,0.00805619389170943,0.010646568623898333,0.0333273800264031,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_FirstOrder_NN_128,reference_file,Density,0.009813901011642963,0.012893625119223326,0.057708376184772536,0.004075889016691868,0.005294626283349686,0.01714982086464804,1.0032770884798337
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_FirstOrder_NN_256,reference_file,Density,0.004892167913502933,0.0064147443192342606,0.03544424506638677,0.0020323068737249208,0.0026345734292470297,0.010532538680847183,1.0164368639889418
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_FirstOrder_NN_64,reference_file,Momentum_x,3.9624343045648995,5.62439153128216,28.217391368525696,0.06868747807503695,0.07200964700594834,0.10428015384299376,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_FirstOrder_NN_128,reference_file,Momentum_x,2.007415206203663,2.7986235755529636,15.106531197736416,0.03446994964303545,0.03567978366168231,0.05582897471738553,1.003531036391241
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_FirstOrder_NN_256,reference_file,Momentum_x,1.0004342854519808,1.3929814710395363,8.177424800347055,0.01709489654913272,0.017702384678860386,0.03021075585503312,1.0157779826093647
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_FirstOrder_NN_64,reference_file,Momentum_y,1.9812171522824498,2.81219576564108,14.108695684262848,0.06868747807503695,0.07200964700594834,0.10428015384299376,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_FirstOrder_NN_128,reference_file,Momentum_y,1.0037076031018315,1.3993117877764818,7.553265598868208,0.03446994964303545,0.03567978366168231,0.05582897471738553,1.003531036391241
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_FirstOrder_NN_256,reference_file,Momentum_y,0.5002171427259904,0.6964907355197681,4.088712400173527,0.01709489654913272,0.017702384678860386,0.03021075585503312,1.0157779826093647
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_FirstOrder_NN_64,reference_file,Energy,15401.359422430063,21082.383635756953,98779.68453253852,0.015907259399221614,0.0208395523713256,0.053044740973221004,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_FirstOrder_NN_128,reference_file,Energy,7800.1269483420565,10488.993444275215,52364.781016659224,0.00804440138681547,0.010350998204107106,0.02812021192174843,1.0037125890272505
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_FirstOrder_NN_256,reference_file,Energy,3887.756723735864,5220.110604347284,29575.5434008257,0.004010772366445411,0.005151420330598901,0.015879753965410175,1.015962232227646
Mixed,2,Asym,FirstOrder,NN,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_FirstOrder_NN_64,reference_file,ALL_FIELDS,3851.8306146258974,10541.192286787686,98779.68453253852,0.015911956644925486,0.02083955322064353,0.053044740973221004,nan
Mixed,2,Asym,FirstOrder,NN,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_FirstOrder_NN_128,reference_file,ALL_FIELDS,1950.7869712630936,5244.496955490157,52364.781016659224,0.008046772008454533,0.010350998625880478,0.02812021192174843,1.0037125890110954
Mixed,2,Asym,FirstOrder,NN,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_FirstOrder_NN_256,reference_file,ALL_FIELDS,972.3155668329891,2610.0554183367844,29575.5434008257,0.004011952257701804,0.0051514205404385735,0.015879753965410175,1.0159622322112491
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_Barycentric_64,reference_file,Density,0.0015030627658343802,0.002029441474220477,0.009210598186715213,0.000624668791426287,0.0008339822386167234,0.0027371986670435017,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_Barycentric_128,reference_file,Density,0.0003838987736316365,0.0005116009178946635,0.0034275602641753444,0.00015944004255905072,0.00021008332733611195,0.0010186050694821604,1.9811838271716615
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_Barycentric_256,reference_file,Density,9.435771699590817e-05,0.00012511332978064666,0.0007433698379859521,3.9198130610048194e-05,5.138478447166857e-05,0.00022089824619193958,2.0504281508270163
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_Barycentric_64,reference_file,Momentum_x,0.32375799973863023,0.46905723258390847,3.0534017615152322,0.005612237023853161,0.006005386637130931,0.011284147470500666,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_Barycentric_128,reference_file,Momentum_x,0.08283619509742102,0.11750588511669885,1.1086230508206825,0.001422406019843147,0.0014980880589165774,0.004097121136892953,1.9901918457731993
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_Barycentric_256,reference_file,Momentum_x,0.020271312806725277,0.028706165085763735,0.267402850417227,0.00034638556513436384,0.00036480569739655766,0.0009878956304864989,2.0519592231604755
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_Barycentric_64,reference_file,Momentum_y,0.16187899986931512,0.23452861629195423,1.5267008807576161,0.005612237023853161,0.006005386637130931,0.011284147470500666,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_Barycentric_128,reference_file,Momentum_y,0.04141809754871051,0.058752942558349425,0.5543115254103412,0.001422406019843147,0.0014980880589165774,0.004097121136892953,1.9901918457731993
Mixed,2,Asym,SecondOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_SecondOrder_Barycentric_256,reference_file,Momentum_y,0.010135656403362638,0.014353082542881868,0.1337014252086135,0.00034638556513436384,0.00036480569739655766,0.0009878956304864989,2.0519592231604755
Mixed,2,Asym,SecondOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_SecondOrder_Barycentric_64,reference_file,Energy,1209.13156432307,1687.0497236464978,9733.808204042958,0.0012488488135314816,0.001667617935257218,0.005227059969971776,nan
Mixed,2,Asym,SecondOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_SecondOrder_Barycentric_128,reference_file,Energy,309.42282983694423,424.2131442934619,3569.2279638387263,0.000319112939819749,0.0004186321135644175,0.0019166975358542017,1.9848206188862216
