method,correction,history_case,x,y,side,Cp_native,Cp_case,dCp
NN1,none,full,0.000000,0.000000,upper,-8.64246249e-01,-7.98938096e-01,6.530815e-02
NN1,none,full,0.000032,-0.000999,lower,-6.22429967e-01,-4.63705778e-01,1.587242e-01
NN1,none,full,0.000032,0.000999,upper,-1.04413176e+00,-9.01306927e-01,1.428248e-01
NN1,none,full,0.000140,0.002094,upper,-1.27662969e+00,-1.00496888e+00,2.716608e-01
NN1,none,full,0.000140,-0.002094,lower,-4.43823785e-01,-3.19772780e-01,1.240510e-01
NN1,none,full,0.000346,-0.003286,lower,-1.82361320e-01,-1.57293096e-01,2.506822e-02
NN1,none,full,0.000346,0.003286,upper,-1.51467752e+00,-1.25905383e+00,2.556237e-01
NN1,none,full,0.000674,-0.004575,lower,1.98368095e-02,2.25281864e-02,2.691377e-03
NN1,none,full,0.000674,0.004575,upper,-1.74820554e+00,-1.31873417e+00,4.294714e-01
NN1,none,full,0.001152,-0.005959,lower,2.40765750e-01,6.89240873e-01,4.484751e-01
NN1,none,full,0.001152,0.005959,upper,-1.94504762e+00,-1.71202374e+00,2.330239e-01
NN1,none,full,0.001805,0.007431,upper,-2.13525939e+00,-1.85880029e+00,2.764591e-01
NN1,none,full,0.001805,-0.007431,lower,4.74665612e-01,8.44726741e-01,3.700611e-01
NN1,none,full,0.002658,0.008982,upper,-2.34242463e+00,-2.33279920e+00,9.625435e-03
NN1,none,full,0.002658,-0.008982,lower,6.40264332e-01,8.27511191e-01,1.872469e-01
NN1,none,full,0.003737,-0.010605,lower,7.94202983e-01,7.85112500e-01,-9.090483e-03
NN1,none,full,0.003737,0.010605,upper,-2.40620303e+00,-2.08533192e+00,3.208711e-01
NN1,none,full,0.005063,-0.012288,lower,8.93857598e-01,1.25177276e+00,3.579152e-01
NN1,none,full,0.005063,0.012288,upper,-2.46477675e+00,-2.21566725e+00,2.491095e-01
NN1,none,full,0.006659,-0.014024,lower,9.69824016e-01,1.21311760e+00,2.432936e-01
NN1,none,full,0.006659,0.014024,upper,-2.51835442e+00,-2.58895040e+00,-7.059598e-02
NN1,none,full,0.008544,-0.015805,lower,9.92680371e-01,1.05117118e+00,5.849081e-02
NN1,none,full,0.008544,0.015805,upper,-2.53411698e+00,-2.57556915e+00,-4.145217e-02
NN1,none,full,0.010740,-0.017625,lower,9.89608467e-01,1.29244709e+00,3.028386e-01
