method,correction,history_case,norm_eps_n,norm_eps_nm1,norm_eta,eps_Density,eps_Momentum_x,eps_Momentum_y,eps_Energy,integral_defect_density
NN1,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.68791383e-05,1.14386027e-03,8.99718461e-04,2.17278444e-04,-7.28653521e-04
NN1,none,full,1.47399713e-03,1.47399713e-03,2.21099569e-03,8.68791383e-05,1.14386027e-03,8.99718461e-04,2.17278444e-04,-7.28653521e-04
NN1,none,latest,1.47399713e-03,0.00000000e+00,2.94799425e-03,8.68791383e-05,1.14386027e-03,8.99718461e-04,2.17278444e-04,-7.28653521e-04
NN1,none,older,0.00000000e+00,1.47399713e-03,7.36998563e-04,8.68791383e-05,1.14386027e-03,8.99718461e-04,2.17278444e-04,-7.28653521e-04
NN2,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.23163232e-05,6.84821022e-04,1.91563437e-04,1.27615606e-04,-7.93927647e-04
NN2,none,full,7.23707674e-04,7.23707674e-04,1.08556151e-03,4.23163232e-05,6.84821022e-04,1.91563437e-04,1.27615606e-04,-7.93927647e-04
NN2,none,latest,7.23707674e-04,0.00000000e+00,1.44741535e-03,4.23163232e-05,6.84821022e-04,1.91563437e-04,1.27615606e-04,-7.93927647e-04
NN2,none,older,0.00000000e+00,7.23707674e-04,3.61853837e-04,4.23163232e-05,6.84821022e-04,1.91563437e-04,1.27615606e-04,-7.93927647e-04
NN3,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.11617632e-05,6.78052265e-04,1.85568529e-04,1.24346234e-04,-7.98478324e-04
NN3,none,full,7.15085190e-04,7.15085190e-04,1.07262779e-03,4.11617632e-05,6.78052265e-04,1.85568529e-04,1.24346234e-04,-7.98478324e-04
NN3,none,latest,7.15085190e-04,0.00000000e+00,1.43017038e-03,4.11617632e-05,6.78052265e-04,1.85568529e-04,1.24346234e-04,-7.98478324e-04
NN3,none,older,0.00000000e+00,7.15085190e-04,3.57542595e-04,4.11617632e-05,6.78052265e-04,1.85568529e-04,1.24346234e-04,-7.98478324e-04
BAR2,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.79241897e-05,6.67265621e-04,1.86980957e-04,1.14513431e-04,-8.13774331e-04
BAR2,none,full,7.03389548e-04,7.03389548e-04,1.05508432e-03,3.79241897e-05,6.67265621e-04,1.86980957e-04,1.14513431e-04,-8.13774331e-04
BAR2,none,latest,7.03389548e-04,0.00000000e+00,1.40677910e-03,3.79241897e-05,6.67265621e-04,1.86980957e-04,1.14513431e-04,-8.13774331e-04
BAR2,none,older,0.00000000e+00,7.03389548e-04,3.51694774e-04,3.79241897e-05,6.67265621e-04,1.86980957e-04,1.14513431e-04,-8.13774331e-04
BAR3,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.87439103e-05,6.75901808e-04,1.83724613e-04,1.16543748e-04,-7.91315964e-04
BAR3,none,full,7.11112877e-04,7.11112877e-04,1.06666932e-03,3.87439103e-05,6.75901808e-04,1.83724613e-04,1.16543748e-04,-7.91315964e-04
BAR3,none,latest,7.11112877e-04,0.00000000e+00,1.42222575e-03,3.87439103e-05,6.75901808e-04,1.83724613e-04,1.16543748e-04,-7.91315964e-04
BAR3,none,older,0.00000000e+00,7.11112877e-04,3.55556438e-04,3.87439103e-05,6.75901808e-04,1.83724613e-04,1.16543748e-04,-7.91315964e-04
GP2,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.00174557e-05,6.75973118e-04,1.88543202e-04,1.20458004e-04,-8.12335914e-04
GP2,none,full,7.13161779e-04,7.13161779e-04,1.06974267e-03,4.00174557e-05,6.75973118e-04,1.88543202e-04,1.20458004e-04,-8.12335914e-04
GP2,none,latest,7.13161779e-04,0.00000000e+00,1.42632356e-03,4.00174557e-05,6.75973118e-04,1.88543202e-04,1.20458004e-04,-8.12335914e-04
GP2,none,older,0.00000000e+00,7.13161779e-04,3.56580889e-04,4.00174557e-05,6.75973118e-04,1.88543202e-04,1.20458004e-04,-8.12335914e-04
GP3,none,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.94291918e-05,6.76268515e-04,1.84144894e-04,1.18782226e-04,-7.85489701e-04
GP3,none,full,7.11977756e-04,7.11977756e-04,1.06796663e-03,3.94291918e-05,6.76268515e-04,1.84144894e-04,1.18782226e-04,-7.85489701e-04
GP3,none,latest,7.11977756e-04,0.00000000e+00,1.42395551e-03,3.94291918e-05,6.76268515e-04,1.84144894e-04,1.18782226e-04,-7.85489701e-04
GP3,none,older,0.00000000e+00,7.11977756e-04,3.55988878e-04,3.94291918e-05,6.76268515e-04,1.84144894e-04,1.18782226e-04,-7.85489701e-04
NN1G,Global,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.69027750e-05,1.14367368e-03,8.99643317e-04,2.17413551e-04,-8.12335910e-04
NN1G,Global,full,1.47382778e-03,1.47382778e-03,2.21074167e-03,8.69027750e-05,1.14367368e-03,8.99643317e-04,2.17413551e-04,-8.12335910e-04
NN1G,Global,latest,1.47382778e-03,0.00000000e+00,2.94765556e-03,8.69027750e-05,1.14367368e-03,8.99643317e-04,2.17413551e-04,-8.12335910e-04
NN1G,Global,older,0.00000000e+00,1.47382778e-03,7.36913890e-04,8.69027750e-05,1.14367368e-03,8.99643317e-04,2.17413551e-04,-8.12335910e-04
NN2G,Global,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.23274684e-05,6.84832155e-04,1.91580397e-04,1.27647139e-04,-8.12335907e-04
NN2G,Global,full,7.23728911e-04,7.23728911e-04,1.08559337e-03,4.23274684e-05,6.84832155e-04,1.91580397e-04,1.27647139e-04,-8.12335907e-04
NN2G,Global,latest,7.23728911e-04,0.00000000e+00,1.44745782e-03,4.23274684e-05,6.84832155e-04,1.91580397e-04,1.27647139e-04,-8.12335907e-04
NN2G,Global,older,0.00000000e+00,7.23728911e-04,3.61864455e-04,4.23274684e-05,6.84832155e-04,1.91580397e-04,1.27647139e-04,-8.12335907e-04
NN3G,Global,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.11704130e-05,6.78052388e-04,1.85584762e-04,1.24366846e-04,-8.12335909e-04
NN3G,Global,full,7.15093602e-04,7.15093602e-04,1.07264040e-03,4.11704130e-05,6.78052388e-04,1.85584762e-04,1.24366846e-04,-8.12335909e-04
NN3G,Global,latest,7.15093602e-04,0.00000000e+00,1.43018720e-03,4.11704130e-05,6.78052388e-04,1.85584762e-04,1.24366846e-04,-8.12335909e-04
NN3G,Global,older,0.00000000e+00,7.15093602e-04,3.57546801e-04,4.11704130e-05,6.78052388e-04,1.85584762e-04,1.24366846e-04,-8.12335909e-04
BAR2G,Global,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.79232073e-05,6.67262059e-04,1.86989081e-04,1.14513811e-04,-8.12335907e-04
BAR2G,Global,full,7.03388339e-04,7.03388339e-04,1.05508251e-03,3.79232073e-05,6.67262059e-04,1.86989081e-04,1.14513811e-04,-8.12335907e-04
BAR2G,Global,latest,7.03388339e-04,0.00000000e+00,1.40677668e-03,3.79232073e-05,6.67262059e-04,1.86989081e-04,1.14513811e-04,-8.12335907e-04
BAR2G,Global,older,0.00000000e+00,7.03388339e-04,3.51694169e-04,3.79232073e-05,6.67262059e-04,1.86989081e-04,1.14513811e-04,-8.12335907e-04
BAR3G,Global,native,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.87577863e-05,6.75903657e-04,1.83740622e-04,1.16576585e-04,-8.12335910e-04
BAR3G,Global,full,7.11124908e-04,7.11124908e-04,1.06668736e-03,3.87577863e-05,6.75903657e-04,1.83740622e-04,1.16576585e-04,-8.12335910e-04
BAR3G,Global,latest,7.11124908e-04,0.00000000e+00,1.42224982e-03,3.87577863e-05,6.75903657e-04,1.83740622e-04,1.16576585e-04,-8.12335910e-04
BAR3G,Global,older,0.00000000e+00,7.11124908e-04,3.55562454e-04,3.87577863e-05,6.75903657e-04,1.83740622e-04,1.16576585e-04,-8.12335910e-04
