method,correction,history_case,norm_delta,delta_Density,delta_Momentum_x,delta_Momentum_y,delta_Energy,spatial_compat_norm,dCL,dCD,dCMz
NN1,none,full,1.46080255e-03,9.19116931e-05,1.13202430e-03,8.85701463e-04,2.44029172e-04,1.65915092e-02,5.78731390e-03,1.12459733e-02,1.33138705e-04
NN1,none,latest,1.94765322e-03,1.22630690e-04,1.50936565e-03,1.18092966e-03,3.24861904e-04,1.65915092e-02,7.71377330e-03,1.50177220e-02,1.77243464e-04
NN1,none,older,4.87166007e-04,3.12336480e-05,3.77344146e-04,2.95222276e-04,8.25250311e-05,1.65915092e-02,-1.83995900e-03,-3.62919817e-03,-5.16319510e-05
NN2,none,full,7.22403509e-04,4.15922578e-05,6.84457507e-04,1.90615670e-04,1.23776018e-04,1.02034935e-03,-6.88393120e-03,5.10597411e-03,1.87977697e-03
NN2,none,latest,9.63037720e-04,5.50640256e-05,9.12614005e-04,2.54151260e-04,1.64171921e-04,1.02034935e-03,-9.16769010e-03,6.80845627e-03,2.49877718e-03
NN2,none,older,2.41322660e-04,1.48198148e-05,2.28147940e-04,6.35381075e-05,4.39138446e-05,1.02034935e-03,2.31268180e-03,-1.70961969e-03,-6.27273681e-04
NN3,none,full,7.13864550e-04,4.05411903e-05,6.77690838e-04,1.84659086e-04,1.20810425e-04,8.26185255e-04,-6.94835810e-03,5.41883725e-03,1.75848067e-03
NN3,none,latest,9.51623945e-04,5.37948242e-05,9.03594953e-04,2.46210411e-04,1.59971383e-04,8.26185255e-04,-9.24748680e-03,7.22637666e-03,2.34107818e-03
NN3,none,older,2.38432051e-04,1.45322341e-05,2.25890727e-04,6.15509870e-05,4.27026052e-05,8.26185255e-04,2.33589720e-03,-1.81099228e-03,-5.85649718e-04
BAR2,none,full,7.02585460e-04,3.81110011e-05,6.66968471e-04,1.86019212e-04,1.12799783e-04,7.51736356e-04,-7.28520210e-03,6.29627737e-03,1.67371252e-03
BAR2,none,latest,9.36668559e-04,5.01498522e-05,8.89297549e-04,2.48025063e-04,1.49888021e-04,7.51736356e-04,-9.70942720e-03,8.39016916e-03,2.21621226e-03
BAR2,none,older,2.34676867e-04,1.39556241e-05,2.22319914e-04,6.20020889e-05,4.01007415e-05,7.51736356e-04,2.44644590e-03,-2.10641144e-03,-5.59123731e-04
BAR3,none,full,7.10186788e-04,3.83982359e-05,6.75661324e-04,1.82986269e-04,1.13528189e-04,5.51637252e-04,-7.20466600e-03,5.43964917e-03,1.72796610e-03
BAR3,none,latest,9.46801738e-04,5.06919542e-05,9.00880213e-04,2.43981913e-04,1.50836084e-04,5.51637252e-04,-9.60292210e-03,7.24922190e-03,2.29050032e-03
BAR3,none,older,2.37232410e-04,1.40417458e-05,2.25216698e-04,6.09927757e-05,4.04890854e-05,5.51637252e-04,2.41862530e-03,-1.82297726e-03,-5.76875927e-04
GP2,none,full,7.12252867e-04,3.98050583e-05,6.75713785e-04,1.87562062e-04,1.18114596e-04,5.53965299e-04,-7.57511200e-03,6.13263757e-03,1.78712559e-03
GP2,none,latest,9.49443567e-04,5.25967897e-05,9.00956205e-04,2.50083442e-04,1.56246130e-04,5.53965299e-04,-1.00914915e-02,8.17154704e-03,2.37181776e-03
GP2,none,older,2.37863458e-04,1.44589781e-05,2.25236175e-04,6.25182072e-05,4.15944918e-05,5.53965299e-04,2.53897210e-03,-2.05475409e-03,-5.99791776e-04
GP3,none,full,7.11017835e-04,3.90611623e-05,6.76015907e-04,1.83369520e-04,1.15752752e-04,6.42123272e-04,-7.10682940e-03,5.46991146e-03,1.67244503e-03
GP3,none,latest,9.47882233e-04,5.15804011e-05,9.01350622e-04,2.44492043e-04,1.53658341e-04,6.42123272e-04,-9.47071290e-03,7.29077291e-03,2.21765971e-03
GP3,none,older,2.37492061e-04,1.41640528e-05,2.25338481e-04,6.11204080e-05,4.10940790e-05,6.42123272e-04,2.38702810e-03,-1.83177213e-03,-5.57722575e-04
NN1G,Global,full,1.46067697e-03,9.20461286e-05,1.13184006e-03,8.85623268e-04,2.44364973e-04,1.65920651e-02,5.79242660e-03,1.12463207e-02,1.34996823e-04
NN1G,Global,latest,1.94744143e-03,1.22620348e-04,1.50911770e-03,1.18082573e-03,3.25125743e-04,1.65920651e-02,7.72059420e-03,1.50181848e-02,1.79721555e-04
NN1G,Global,older,4.87056446e-04,3.12298479e-05,3.77259292e-04,2.95193866e-04,8.23692092e-05,1.65920651e-02,-1.84165930e-03,-3.62931394e-03,-5.22508840e-05
NN2G,Global,full,7.22413872e-04,4.16073158e-05,6.84467640e-04,1.90631699e-04,1.23750717e-04,1.02018692e-03,-6.88350580e-03,5.10600607e-03,1.87993409e-03
NN2G,Global,latest,9.63090332e-04,5.50766747e-05,9.12629933e-04,2.54173736e-04,1.64352869e-04,1.02018692e-03,-9.16712300e-03,6.80849947e-03,2.49898646e-03
NN2G,Global,older,2.41324696e-04,1.48421558e-05,2.28154894e-04,6.35421746e-05,4.38754601e-05,1.02018692e-03,2.31254040e-03,-1.70963049e-03,-6.27325951e-04
NN3G,Global,full,7.13878076e-04,4.05888873e-05,6.77688670e-04,1.84675735e-04,1.20861032e-04,8.26105258e-04,-6.94794200e-03,5.41889234e-03,1.75862641e-03
NN3G,Global,latest,9.51652642e-04,5.38168754e-05,9.03596980e-04,2.46231774e-04,1.60090308e-04,8.26105258e-04,-9.24693190e-03,7.22645013e-03,2.34127249e-03
NN3G,Global,older,2.38431976e-04,1.45340841e-05,2.25890453e-04,6.15548787e-05,4.26973951e-05,8.26105258e-04,2.33575850e-03,-1.81101063e-03,-5.85698292e-04
BAR2G,Global,full,7.02585028e-04,3.81062435e-05,6.66966164e-04,1.86026870e-04,1.12799714e-04,7.51672382e-04,-7.28500140e-03,6.29632599e-03,1.67377598e-03
BAR2G,Global,latest,9.36659150e-04,5.01496445e-05,8.89284228e-04,2.48037313e-04,1.49888053e-04,7.51672382e-04,-9.70915960e-03,8.39023401e-03,2.21629686e-03
BAR2G,Global,older,2.34677565e-04,1.39554001e-05,2.22319792e-04,6.20047924e-05,4.01013972e-05,7.51672382e-04,2.44637900e-03,-2.10642760e-03,-5.59144897e-04
BAR3G,Global,full,7.10196203e-04,3.84144730e-05,6.75662262e-04,1.83002221e-04,1.13550293e-04,5.51484495e-04,-7.20428080e-03,5.43969880e-03,1.72810663e-03
BAR3G,Global,latest,9.46808879e-04,5.07334894e-05,9.00884343e-04,2.44002977e-04,1.50808201e-04,5.51484495e-04,-9.60240840e-03,7.24928807e-03,2.29068769e-03
BAR3G,Global,older,2.37224996e-04,1.40436110e-05,2.25212666e-04,6.09979779e-05,4.04595758e-05,5.51484495e-04,2.41849690e-03,-1.82299379e-03,-5.76922758e-04
