method,correction,history_case,time_step,CL_native,CD_native,CMz_native,CL_case,CD_case,CMz_case,dCL,dCD,dCMz
NN1,none,full,2,7.0900224240e-01,3.0572187540e-03,7.2228417010e-03,7.1478955630e-01,1.4303192020e-02,7.3559804060e-03,5.787314e-03,1.124597e-02,1.331387e-04
NN1,none,full,3,7.0890963260e-01,2.9775012930e-03,7.2431265100e-03,7.2824611520e-01,1.3913843110e-02,5.8481441220e-03,1.933648e-02,1.093634e-02,-1.394982e-03
NN1,none,full,4,7.0887367800e-01,2.9255660480e-03,7.2507185020e-03,7.3503973060e-01,1.1884197630e-02,5.3492023920e-03,2.616605e-02,8.958632e-03,-1.901516e-03
NN1,none,full,5,7.0887371100e-01,2.9137362710e-03,7.2532041350e-03,7.3586636820e-01,1.0404605310e-02,5.4657383800e-03,2.699266e-02,7.490869e-03,-1.787466e-03
NN1,none,full,6,7.0888417370e-01,2.9243727130e-03,7.2548047050e-03,7.3285866920e-01,9.5259868710e-03,5.8450521720e-03,2.397450e-02,6.601614e-03,-1.409753e-03
NN1,none,full,7,7.0889062790e-01,2.9393406760e-03,7.2565288090e-03,7.2804035230e-01,8.5294338770e-03,6.3167342760e-03,1.914972e-02,5.590093e-03,-9.397945e-04
NN1,none,full,8,7.0889081250e-01,2.9506844110e-03,7.2583326310e-03,7.2289799950e-01,7.0109863980e-03,6.8283481210e-03,1.400719e-02,4.060302e-03,-4.299845e-04
NN1,none,full,9,7.0888859600e-01,2.9576015890e-03,7.2598594080e-03,7.1833199780e-01,5.1555283670e-03,7.3331692820e-03,9.443402e-03,2.197927e-03,7.330987e-05
NN1,none,full,10,7.0888827950e-01,2.9613664240e-03,7.2606991590e-03,7.1474509730e-01,3.4863270920e-03,7.7468980530e-03,5.856818e-03,5.249607e-04,4.861989e-04
NN1,none,full,11,7.0889198070e-01,2.9630463280e-03,7.2606672050e-03,7.1219503210e-01,2.4682494290e-03,7.9872280350e-03,3.303051e-03,-4.947969e-04,7.265608e-04
NN1,none,full,12,7.0889949820e-01,2.9634030470e-03,7.2599221650e-03,7.1055200030e-01,2.2597426330e-03,8.0266454420e-03,1.652502e-03,-7.036604e-04,7.667233e-04
NN1,none,full,13,7.0890926680e-01,2.9632290260e-03,7.2588501520e-03,7.0960987350e-01,2.6869019280e-03,7.9052546600e-03,7.006067e-04,-2.763271e-04,6.464045e-04
NN1,none,full,14,7.0891939600e-01,2.9632892330e-03,7.2578485190e-03,7.0914692690e-01,3.3851313710e-03,7.7021247180e-03,2.275309e-04,4.218421e-04,4.442762e-04
NN1,none,full,15,7.0892836650e-01,2.9640469480e-03,7.2571748180e-03,7.0895907820e-01,3.9861560260e-03,7.4966129640e-03,3.071170e-05,1.022109e-03,2.394381e-04
NN1,none,full,16,7.0893533350e-01,2.9655626690e-03,7.2569176540e-03,7.0888184160e-01,4.2540186200e-03,7.3437131090e-03,-5.349190e-05,1.288456e-03,8.679546e-05
NN1,none,full,17,7.0894012530e-01,2.9676354770e-03,7.2570518770e-03,7.0880417230e-01,4.1312586580e-03,7.2680548510e-03,-1.359530e-04,1.163623e-03,1.100297e-05
NN1,none,full,18,7.0894307210e-01,2.9700149230e-03,7.2575063720e-03,7.0867212970e-01,3.7053915470e-03,7.2703883120e-03,-2.709424e-04,7.353766e-04,1.288194e-05
NN1,none,full,19,7.0894477180e-01,2.9725323050e-03,7.2582010140e-03,7.0847980470e-01,3.1342236590e-03,7.3369200350e-03,-4.649671e-04,1.616914e-04,7.871902e-05
NN1,none,full,20,7.0894587500e-01,2.9751138630e-03,7.2590533730e-03,7.0825125920e-01,2.5735718530e-03,7.4463456980e-03,-6.946158e-04,-4.015420e-04,1.872923e-04
NN1,none,full,21,7.0894693500e-01,2.9777309430e-03,7.2599759380e-03,7.0802063340e-01,2.1330619060e-03,7.5747475490e-03,-9.263016e-04,-8.446690e-04,3.147716e-04
NN1,none,full,22,7.0894833780e-01,2.9803520120e-03,7.2608805570e-03,7.0781778000e-01,1.8641086140e-03,7.6995116390e-03,-1.130558e-03,-1.116243e-03,4.386311e-04
NN1,none,full,23,7.0895029770e-01,2.9829260970e-03,7.2616916750e-03,7.0766079730e-01,1.7701619320e-03,7.8034715040e-03,-1.289500e-03,-1.212764e-03,5.417798e-04
NN1,none,full,24,7.0895289470e-01,2.9853918100e-03,7.2623625780e-03,7.0755615140e-01,1.8271935890e-03,7.8780437460e-03,-1.396743e-03,-1.158198e-03,6.156812e-04
NN1,none,full,25,7.0895611780e-01,2.9876940030e-03,7.2628815140e-03,7.0750315580e-01,2.0027816990e-03,7.9239884650e-03,-1.452962e-03,-9.849123e-04,6.611070e-04
NN1,none,full,26,7.0895990080e-01,2.9897971410e-03,7.2632658940e-03,7.0749900220e-01,2.2668963260e-03,7.9493818850e-03,-1.460899e-03,-7.229008e-04,6.861160e-04
NN1,none,full,27,7.0896414810e-01,2.9916917620e-03,7.2635506770e-03,7.0754160830e-01,2.5954083720e-03,7.9655744530e-03,-1.422540e-03,-3.962834e-04,7.020238e-04
NN1,none,full,28,7.0896875290e-01,2.9933933300e-03,7.2637772400e-03,7.0762992870e-01,2.9692626920e-03,7.9827323380e-03,-1.338824e-03,-2.413064e-05,7.189551e-04
NN1,none,full,29,7.0897360920e-01,2.9949349820e-03,7.2639856590e-03,7.0776317360e-01,3.3713136190e-03,8.0064415300e-03,-1.210436e-03,3.763786e-04,7.424559e-04
NN1,none,full,30,7.0897862100e-01,2.9963573850e-03,7.2642101230e-03,7.0793943360e-01,3.7839335030e-03,8.0364373060e-03,-1.039187e-03,7.875761e-04,7.722272e-04
NN1,none,full,31,7.0898370500e-01,2.9976987920e-03,7.2644763800e-03,7.0815493180e-01,4.1877427570e-03,8.0674179320e-03,-8.287732e-04,1.190044e-03,8.029416e-04
NN1,none,full,32,7.0898879100e-01,2.9989874080e-03,7.2648004620e-03,7.0840398840e-01,4.5615405660e-03,8.0912561230e-03,-5.848026e-04,1.562553e-03,8.264557e-04
NN1,none,full,33,7.0899382070e-01,3.0002373250e-03,7.2651885240e-03,7.0867938120e-01,4.8833018350e-03,8.0996535830e-03,-3.144395e-04,1.883065e-03,8.344651e-04
NN1,none,full,34,7.0899874600e-01,3.0014487080e-03,7.2656379450e-03,7.0897319820e-01,5.1317661100e-03,8.0862347760e-03,-2.554780e-05,2.130317e-03,8.205968e-04
NN1,none,full,35,7.0900352870e-01,3.0026118810e-03,7.2661398410e-03,7.0927729620e-01,5.2887887330e-03,8.0477528670e-03,2.737675e-04,2.286177e-03,7.816130e-04
NN1,none,full,36,7.0900814060e-01,3.0037134920e-03,7.2666827500e-03,7.0958345170e-01,5.3420230570e-03,7.9842250580e-03,5.753111e-04,2.338310e-03,7.175423e-04
NN1,none,full,37,7.0901256480e-01,3.0047424180e-03,7.2672564610e-03,7.0988340570e-01,5.2873780810e-03,7.8982351930e-03,8.708409e-04,2.282636e-03,6.309787e-04
NN1,none,full,38,7.0901679550e-01,3.0056938420e-03,7.2678550440e-03,7.1016870500e-01,5.1304275870e-03,7.7938736080e-03,1.151909e-03,2.124734e-03,5.260186e-04
NN1,none,full,39,7.0902083660e-01,3.0065712010e-03,7.2684781530e-03,7.1043061560e-01,4.8861396530e-03,7.6756933920e-03,1.409779e-03,1.879568e-03,4.072152e-04
NN1,none,full,40,7.0902469850e-01,3.0073858680e-03,7.2691305220e-03,7.1066025210e-01,4.5769215830e-03,7.5479644610e-03,1.635554e-03,1.569536e-03,2.788339e-04
NN1,none,full,41,7.0902839390e-01,3.0081550380e-03,7.2698198270e-03,7.1084887840e-01,4.2294506020e-03,7.4143485620e-03,1.820484e-03,1.221296e-03,1.445287e-04
NN1,none,full,42,7.0903193720e-01,3.0088976190e-03,7.2705538050e-03,7.1098833740e-01,3.8707843670e-03,7.2779331440e-03,1.956400e-03,8.618867e-04,7.379339e-06
NN1,none,full,43,7.0903534200e-01,3.0096327960e-03,7.2713379130e-03,7.1107162610e-01,3.5245945270e-03,7.1414462810e-03,2.036284e-03,5.149617e-04,-1.298916e-04
NN1,none,full,44,7.0903861900e-01,3.0103773840e-03,7.2721746780e-03,7.1109334060e-01,3.2083171320e-03,7.0075181650e-03,2.054722e-03,1.979397e-04,-2.646565e-04
NN1,none,full,45,7.0904177580e-01,3.0111412890e-03,7.2730636380e-03,7.1104996180e-01,2.9316228350e-03,6.8788342090e-03,2.008186e-03,-7.951845e-05,-3.942294e-04
NN1,none,full,46,7.0904481730e-01,3.0119254140e-03,7.2740017470e-03,7.1093981750e-01,2.6965839940e-03,6.7582165960e-03,1.895000e-03,-3.153414e-04,-5.157852e-04
NN1,none,full,47,7.0904774550e-01,3.0127328080e-03,7.2749841330e-03,7.1076284550e-01,2.4991286710e-03,6.6485686090e-03,1.715100e-03,-5.136041e-04,-6.264155e-04
NN1,none,full,48,7.0905056190e-01,3.0135635930e-03,7.2760053340e-03,7.1052026260e-01,2.3313003090e-03,6.5527278900e-03,1.469701e-03,-6.822633e-04,-7.232774e-04
NN1,none,full,49,7.0905327030e-01,3.0144109190e-03,7.2770605390e-03,7.1021420610e-01,2.1838908260e-03,6.4732843710e-03,1.160936e-03,-8.305201e-04,-8.037762e-04
NN1,none,full,50,7.0905587630e-01,3.0152640590e-03,7.2781460740e-03,7.0984739750e-01,2.0487610880e-03,6.4124046280e-03,7.915212e-04,-9.665030e-04,-8.657414e-04
NN1,none,full,51,7.0905838740e-01,3.0161128170e-03,7.2792591880e-03,7.0942295180e-01,1.9205145190e-03,6.3716697550e-03,3.645644e-04,-1.095598e-03,-9.075894e-04
NN1,none,full,52,7.0906081150e-01,3.0169493380e-03,7.2803976380e-03,7.0894424960e-01,1.7973413520e-03,6.3519615010e-03,-1.165619e-04,-1.219608e-03,-9.284361e-04
NN1,none,latest,2,7.0900224240e-01,3.0572187540e-03,7.2228417010e-03,7.1671601570e-01,1.8074940790e-02,7.4000851650e-03,7.713773e-03,1.501772e-02,1.772435e-04
NN1,none,latest,3,7.0890963260e-01,2.9775012930e-03,7.2431265100e-03,7.3534415550e-01,1.8849019150e-02,5.4041468720e-03,2.643452e-02,1.587152e-02,-1.838980e-03
