method,correction,pair,trial_state,norm_r_diff,norm_r_pred,rel_identity_error,cosine
NN1,none,older-native,U_B*,2.55672646e+00,2.55673012e+00,2.482667e-08,1.0000014339
NN1,none,latest-full,Uhat_B*,2.55672646e+00,2.55673012e+00,3.420496e-08,1.0000014348
NN2,none,older-native,U_B*,4.95299160e-01,4.95299952e-01,2.572513e-08,1.0000015994
NN2,none,latest-full,Uhat_B*,4.95299160e-01,4.95299952e-01,3.405075e-08,1.0000015965
NN3,none,older-native,U_B*,4.63584125e-01,4.63584828e-01,2.549080e-08,1.0000015173
NN3,none,latest-full,Uhat_B*,4.63584125e-01,4.63584828e-01,3.486429e-08,1.0000015192
BAR2,none,older-native,U_B*,4.51645136e-01,4.51645863e-01,2.687014e-08,1.0000016113
BAR2,none,latest-full,Uhat_B*,4.51645136e-01,4.51645863e-01,3.464936e-08,1.0000016113
BAR3,none,older-native,U_B*,4.49665219e-01,4.49666003e-01,2.625340e-08,1.0000017445
BAR3,none,latest-full,Uhat_B*,4.49665219e-01,4.49666003e-01,3.492559e-08,1.0000017461
GP2,none,older-native,U_B*,4.77491856e-01,4.77492678e-01,4.449601e-06,1.0000017226
GP2,none,latest-full,Uhat_B*,4.77491856e-01,4.77492678e-01,4.449672e-06,1.0000017219
GP3,none,older-native,U_B*,4.54449415e-01,4.54450155e-01,1.334973e-06,1.0000016289
GP3,none,latest-full,Uhat_B*,4.54449415e-01,4.54450155e-01,1.335200e-06,1.0000016258
NN1G,Global,older-native,U_B*,2.54991078e+00,2.54991429e+00,2.555443e-08,1.0000013745
NN1G,Global,latest-full,Uhat_B*,2.54991078e+00,2.54991429e+00,3.624101e-08,1.0000013747
NN2G,Global,older-native,U_B*,4.94655132e-01,4.94655882e-01,2.480050e-08,1.0000015147
NN2G,Global,latest-full,Uhat_B*,4.94655102e-01,4.94655882e-01,3.760508e-08,1.0000015732
NN3G,Global,older-native,U_B*,4.63715047e-01,4.63715806e-01,2.549841e-08,1.0000016416
NN3G,Global,latest-full,Uhat_B*,4.63715047e-01,4.63715806e-01,3.493821e-08,1.0000016394
BAR2G,Global,older-native,U_B*,4.51870322e-01,4.51871051e-01,2.672600e-08,1.0000016152
BAR2G,Global,latest-full,Uhat_B*,4.51870322e-01,4.51871051e-01,3.786844e-08,1.0000016174
BAR3G,Global,older-native,U_B*,4.49715465e-01,4.49716251e-01,2.639577e-08,1.0000017495
BAR3G,Global,latest-full,Uhat_B*,4.49715465e-01,4.49716251e-01,3.358971e-08,1.0000017482
