method,correction,pair,trial_state,export,vtk_dtype,field,norm_r_I,norm_p_I,norm_r_minus_p_I,e_id_I,cos_I,norm_r_Minv,norm_p_Minv,norm_r_minus_p_Minv,e_id_Minv,cos_Minv,max_abs_r_minus_p,max_abs_p,max_rel_componentwise
NN1,none,older-native,U_B*,"double (ASCII, precision 17)",double,Density,1.4302288011e-01,1.4302288093e-01,2.1269835735e-08,1.487163e-07,1.000000000000,4.3439569058e-02,4.3439569144e-02,5.6913518851e-09,1.310177e-07,1.000000000000,4.990808e-09,2.580557e-02,1.934004e-07
NN1,none,older-native,U_B*,"double (ASCII, precision 17)",double,Momentum_x,1.9034243233e+00,1.9034243047e+00,2.9964941872e-07,1.574265e-07,1.000000000000,5.7193013205e-01,5.7193013364e-01,7.6700678133e-08,1.341085e-07,1.000000000000,4.996927e-08,3.031824e-01,1.648159e-07
NN1,none,older-native,U_B*,"double (ASCII, precision 17)",double,Momentum_y,1.6481479520e+00,1.6481479402e+00,2.6692985485e-07,1.619575e-07,1.000000000000,4.4985923154e-01,4.4985923066e-01,6.2613282401e-08,1.391842e-07,1.000000000000,4.970358e-08,2.490749e-01,1.995528e-07
NN1,none,older-native,U_B*,"double (ASCII, precision 17)",double,Energy,4.2071087632e-01,4.2071087864e-01,4.3308050670e-08,1.029402e-07,1.000000000000,1.0863922157e-01,1.0863922190e-01,1.4047112937e-08,1.293006e-07,1.000000000000,4.985133e-09,7.907139e-02,6.304598e-08
NN1,none,older-native,U_B*,"double (ASCII, precision 17)",double,all,2.5567301406e+00,2.5567301195e+00,4.0418970139e-07,1.580885e-07,1.000000000000,7.3699856226e-01,7.3699856301e-01,1.0016551316e-07,1.359101e-07,1.000000000000,4.996927e-08,3.031824e-01,1.648159e-07
NN1,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Density,1.4302287545e-01,1.4302288093e-01,2.3264180473e-08,1.626605e-07,1.000000000000,4.3439569166e-02,4.3439569144e-02,2.3761526145e-08,5.470019e-07,1.000000000000,4.971307e-09,2.580557e-02,1.926447e-07
NN1,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Momentum_x,1.9034243004e+00,1.9034243047e+00,3.2714130960e-07,1.718699e-07,1.000000000000,5.7193013537e-01,5.7193013364e-01,7.9939932608e-08,1.397722e-07,1.000000000000,4.914281e-08,3.031824e-01,1.620899e-07
NN1,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Momentum_y,1.6481478685e+00,1.6481479402e+00,2.6816206995e-07,1.627051e-07,1.000000000000,4.4985922620e-01,4.4985923066e-01,6.1899977680e-08,1.375985e-07,1.000000000000,4.991742e-08,2.490749e-01,2.004113e-07
NN1,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Energy,4.2071088111e-01,4.2071087864e-01,4.1872314491e-08,9.952753e-08,1.000000000000,1.0863922113e-01,1.0863922190e-01,7.1791115223e-08,6.608213e-07,1.000000000000,4.993646e-09,7.907139e-02,6.315364e-08
NN1,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,all,2.5567300703e+00,2.5567301195e+00,4.2570746413e-07,1.665047e-07,1.000000000000,7.3699856151e-01,7.3699856301e-01,1.2625598763e-07,1.713110e-07,1.000000000000,4.991742e-08,3.031824e-01,1.646448e-07
NN2,none,older-native,U_B*,"double (ASCII, precision 17)",double,Density,5.7915420722e-02,5.7915422901e-02,7.9423966203e-09,1.371379e-07,1.000000000000,2.1158161525e-02,2.1158161603e-02,2.7576695912e-09,1.303360e-07,1.000000000000,4.356075e-09,1.483370e-02,2.936606e-07
NN2,none,older-native,U_B*,"double (ASCII, precision 17)",double,Momentum_x,3.9643127003e-01,3.9643126932e-01,4.7437874232e-08,1.196623e-07,1.000000000000,3.4241051150e-01,3.4241051110e-01,4.3146335763e-08,1.260076e-07,1.000000000000,4.992531e-09,8.887736e-02,5.617326e-08
NN2,none,older-native,U_B*,"double (ASCII, precision 17)",double,Momentum_y,2.3626637970e-01,2.3626637448e-01,3.2745675974e-08,1.385964e-07,1.000000000000,9.5781719018e-02,9.5781718547e-02,1.2655349818e-08,1.321270e-07,1.000000000000,4.948953e-09,5.111880e-02,9.681278e-08
NN2,none,older-native,U_B*,"double (ASCII, precision 17)",double,Energy,1.7025949444e-01,1.7025949386e-01,2.6636882460e-08,1.564487e-07,1.000000000000,6.3807803394e-02,6.3807803096e-02,8.8611041217e-09,1.388718e-07,1.000000000000,4.948905e-09,3.488907e-02,1.418468e-07
NN2,none,older-native,U_B*,"double (ASCII, precision 17)",double,all,4.9529995501e-01,4.9529995201e-01,6.3994033925e-08,1.292026e-07,1.000000000000,3.6185383742e-01,3.6185383687e-01,4.5911742252e-08,1.268792e-07,1.000000000000,4.992531e-09,8.887736e-02,5.617326e-08
NN2,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Density,5.7915422524e-02,5.7915422901e-02,7.7353556409e-09,1.335630e-07,1.000000000000,2.1158161788e-02,2.1158161603e-02,4.1616805870e-09,1.966939e-07,1.000000000000,4.133584e-09,1.483370e-02,2.786616e-07
NN2,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Momentum_x,3.9643126848e-01,3.9643126932e-01,4.8094990690e-08,1.213199e-07,1.000000000000,3.4241050928e-01,3.4241051110e-01,4.3084726544e-08,1.258277e-07,1.000000000000,4.999496e-09,8.887736e-02,5.625162e-08
NN2,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Momentum_y,2.3626637438e-01,2.3626637448e-01,3.0281894282e-08,1.281684e-07,1.000000000000,9.5781718461e-02,9.5781718547e-02,1.3025238912e-08,1.359888e-07,1.000000000000,4.949725e-09,5.111880e-02,9.682788e-08
NN2,none,latest-full,Uhat_B*,"double (ASCII, precision 17)",double,Energy,1.7025949016e-01,1.7025949386e-01,2.6916497671e-08,1.580910e-07,1.000000000000,6.3807802942e-02,6.3807803096e-02,1.2098414421e-08,1.896071e-07,1.000000000000,4.989762e-09,3.488907e-02,1.430179e-07
