threshold,slope,R2,speed,case,travel_exclusion,n_shells,field
2,461,0.792,2.170,WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,0.0,4,Pressure
5,635,0.920,1.575,WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,0.0,4,Pressure
10,753,0.969,1.328,WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,0.0,4,Pressure
25,911,0.998,1.097,WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,0.0,4,Pressure
50,983,0.999,1.018,WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,0.0,4,Pressure
75,1000,1.000,1.000,WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,0.0,4,Pressure
2,572,0.933,1.749,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.0,6,Pressure
2,929,0.999,1.077,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.08,3,Pressure
5,704,0.967,1.421,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.0,6,Pressure
5,1000,1.000,1.000,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.08,3,Pressure
10,769,0.992,1.300,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.0,6,Pressure
10,871,0.999,1.148,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.08,3,Pressure
25,908,0.998,1.101,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.0,6,Pressure
25,800,1.000,1.250,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.08,3,Pressure
50,832,0.995,1.201,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.0,6,Pressure
50,757,0.974,1.321,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.08,3,Pressure
75,892,0.940,1.122,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.0,6,Pressure
75,-286,0.188,-3.500,WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,0.08,3,Pressure
2,528,0.837,1.894,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.0,6,Pressure
2,1300,0.983,0.769,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.08,3,Pressure
5,699,0.937,1.431,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.0,6,Pressure
5,1329,1.000,0.753,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.08,3,Pressure
10,786,0.980,1.272,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.0,6,Pressure
10,1000,1.000,1.000,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.08,3,Pressure
25,914,0.995,1.094,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.0,6,Pressure
25,943,0.997,1.061,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.08,3,Pressure
50,900,0.997,1.111,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.0,6,Pressure
50,843,0.935,1.186,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.08,3,Pressure
75,1003,0.992,0.997,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.0,6,Pressure
75,871,0.999,1.148,WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,0.08,3,Pressure
2,506,0.822,1.975,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.0,10,Pressure
2,881,0.951,1.136,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.08,7,Pressure
5,616,0.922,1.622,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.0,10,Pressure
5,866,0.974,1.155,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.08,7,Pressure
10,724,0.966,1.380,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.0,10,Pressure
10,917,0.993,1.091,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.08,7,Pressure
25,752,0.988,1.330,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.0,10,Pressure
25,826,0.999,1.210,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.08,7,Pressure
50,760,0.993,1.316,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.0,10,Pressure
50,794,0.997,1.259,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.08,7,Pressure
75,745,0.997,1.342,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.0,10,Pressure
75,789,0.997,1.267,WD_0.20-0.25_ConsGalerkinProj_OneShot_Long_Second,0.08,7,Pressure
2,423,0.792,2.365,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.0,10,Pressure
2,760,0.924,1.316,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.08,7,Pressure
5,584,0.916,1.712,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.0,10,Pressure
5,840,0.974,1.191,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.08,7,Pressure
10,659,0.968,1.519,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.0,10,Pressure
10,823,0.991,1.215,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.08,7,Pressure
25,753,0.984,1.328,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.0,10,Pressure
25,858,0.995,1.165,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.08,7,Pressure
50,831,0.985,1.203,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.0,10,Pressure
50,823,0.968,1.215,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.08,7,Pressure
75,869,0.996,1.151,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.0,10,Pressure
75,903,0.992,1.107,WD_0.20-0.25_ConsGalerkinProj_OneShot_Second,0.08,7,Pressure
