method,correction,state_superposition_defect,state_ratio_latest_4_3,state_ratio_older_m1_3,force_superposition_defect_CL,ratio_CL_latest,ratio_CL_older
NN1,none,1.810555e-02,1.333276,0.333492,1.494655e-02,1.332876,-0.317930
NN2,none,3.533163e-02,1.333102,0.334055,4.201509e-03,1.331752,-0.335954
NN3,none,3.403329e-02,1.333060,0.334002,5.291682e-03,1.330888,-0.336180
BAR2,none,3.360002e-02,1.333174,0.334019,3.050128e-03,1.332760,-0.335810
BAR3,none,3.342816e-02,1.333173,0.334042,2.827223e-03,1.332875,-0.335703
GP2,none,3.391594e-02,1.333015,0.333959,2.982477e-03,1.332190,-0.335173
GP3,none,3.419992e-02,1.333134,0.334017,3.256670e-03,1.332621,-0.335878
NN1G,Global,1.782893e-02,1.333246,0.333446,1.493473e-02,1.332877,-0.317943
NN2G,Global,3.507550e-02,1.333156,0.334053,4.201812e-03,1.331752,-0.335954
NN3G,Global,3.417605e-02,1.333074,0.333995,5.292013e-03,1.330888,-0.336180
BAR2G,Global,3.357639e-02,1.333161,0.334020,3.050212e-03,1.332760,-0.335810
BAR3G,Global,3.336824e-02,1.333165,0.334027,2.827388e-03,1.332875,-0.335703
