scheme,safe_factor,seed,global_correction,position_error_cells,width_change_cells,cumulative_density_change,case
BAR2,2,1,off,-0.06,22.91,2.7e-04,WD_0.1_Barycentric_Every_2Steps_SF2_Second
BAR2,2,2,off,-0.03,22.98,3.1e-04,WD_0.1_Barycentric_Every_2Steps_SF2_Seed2_Second
BAR2,2,3,off,-0.07,22.90,1.9e-04,WD_0.1_Barycentric_Every_2Steps_SF2_Seed3_Second
BAR2,4,1,off,-0.03,3.24,1.4e-04,WD_0.1_Barycentric_Every_2Steps_Second
BAR2,4,2,off,0.00,3.20,1.7e-04,WD_0.1_Barycentric_Every_2Steps_Seed2_Second
BAR2,4,3,off,-0.04,3.12,6.6e-05,WD_0.1_Barycentric_Every_2Steps_Seed3_Second
GP2,2,1,off,0.17,0.06,-1.1e-05,WD_0.1_ConsGalerkinProj_Every_2Steps_SF2_Second
GP2,2,2,off,0.19,0.06,-1.0e-05,WD_0.1_ConsGalerkinProj_Every_2Steps_SF2_Seed2_Second
GP2,2,3,off,0.19,0.03,-9.7e-06,WD_0.1_ConsGalerkinProj_Every_2Steps_SF2_Seed3_Second
GP2,4,1,off,0.01,0.00,-3.0e-06,WD_0.1_ConsGalerkinProj_Every_2Steps_Second
GP2,4,2,off,0.02,-0.00,-3.1e-06,WD_0.1_ConsGalerkinProj_Every_2Steps_Seed2_Second
GP2,4,3,off,0.01,0.01,-2.6e-06,WD_0.1_ConsGalerkinProj_Every_2Steps_Seed3_Second
NN1,2,1,off,-0.38,26.36,1.3e-03,WD_0.1_NN_Every_2Steps_SF2_First
NN1,2,2,off,-0.29,24.98,-1.6e-03,WD_0.1_NN_Every_2Steps_SF2_Seed2_First
NN1,2,3,off,0.44,27.14,4.9e-04,WD_0.1_NN_Every_2Steps_SF2_Seed3_First
NN1,4,1,off,0.10,21.41,5.0e-04,WD_0.1_NN_Every_2Steps_First
NN1,4,2,off,0.30,22.89,-8.9e-04,WD_0.1_NN_Every_2Steps_Seed2_First
NN1,4,3,off,0.20,22.75,8.3e-04,WD_0.1_NN_Every_2Steps_Seed3_First
