scheme,dIters,cycles,position_error_cells,width_change_cells,cumulative_density_change
NN1,10,80,0.14,0.57,1.1e-04
NN1,2,400,0.10,21.41,5.0e-04
NN2,10,80,-0.02,-0.01,-8.8e-06
NN2,2,400,-0.04,0.00,-1.7e-05
NN3,10,80,0.01,-0.01,2.2e-05
NN3,2,400,0.02,0.00,2.7e-05
BAR2,10,80,0.01,0.25,2.0e-05
BAR2,2,400,-0.03,3.24,1.4e-04
BAR3,10,80,-0.00,0.01,-1.7e-05
BAR3,2,400,-0.00,0.07,-5.2e-06
GP2,10,80,0.01,-0.00,2.6e-06
GP2,2,400,0.01,0.00,-3.0e-06
GP3,10,80,-0.01,-0.00,-2.1e-05
GP3,2,400,-0.01,0.02,1.8e-05
