idx,scheme,density_net_percent,energy_net_percent,median_abs_density_cycle,overshoot_cycles,worst_density_overshoot,cycles,case
0,BAR2,0.0273,0.0050,8.52e-07,0,0.0e+00,398,WD_0.1_Barycentric_Every_2Steps_SF2_Second
1,BAR2,0.0145,0.0027,4.87e-07,0,0.0e+00,398,WD_0.1_Barycentric_Every_2Steps_Second
2,BAR3,-0.0005,-0.0010,4.42e-07,394,2.0e-02,398,WD_0.1_Barycentric_Every_2Steps_Third
3,BAR2,0.0020,0.0018,8.53e-07,0,0.0e+00,80,WD_0.1_Barycentric_Second
4,BAR3,-0.0017,-0.0018,4.53e-07,80,8.2e-03,80,WD_0.1_Barycentric_Third
5,GP2,-0.0011,-0.0017,4.94e-07,398,2.0e-03,398,WD_0.1_ConsGalerkinProj_Every_2Steps_SF2_Second
6,GP2,-0.0003,-0.0005,1.23e-07,397,2.0e-03,398,WD_0.1_ConsGalerkinProj_Every_2Steps_Second
7,GP3,0.0018,0.0009,4.60e-07,385,2.0e-03,398,WD_0.1_ConsGalerkinProj_Every_2Steps_Third
8,GP2,0.0003,0.0005,1.04e-07,80,2.0e-03,80,WD_0.1_ConsGalerkinProj_Second
9,GP3,-0.0021,-0.0024,4.22e-07,80,2.0e-03,80,WD_0.1_ConsGalerkinProj_Third
10,NN1,0.0500,0.0676,1.26e-05,0,0.0e+00,398,WD_0.1_NN_Every_2Steps_First
11,NN1,0.0000,-0.0000,1.50e-15,0,0.0e+00,398,WD_0.1_NN_Every_2Steps_GlobalCons_First
12,NN2,0.0000,-0.0000,1.50e-15,389,7.2e-02,398,WD_0.1_NN_Every_2Steps_GlobalCons_Second
13,NN3,-0.0000,-0.0000,1.31e-15,389,4.1e-02,398,WD_0.1_NN_Every_2Steps_GlobalCons_Third
14,NN1,0.1282,0.0668,2.86e-05,0,0.0e+00,398,WD_0.1_NN_Every_2Steps_SF2_First
15,NN1,0.0000,-0.0000,1.50e-15,0,0.0e+00,398,WD_0.1_NN_Every_2Steps_SF2_GlobalCons_First
16,NN2,-0.0017,-0.0028,2.46e-07,389,7.1e-02,398,WD_0.1_NN_Every_2Steps_Second
17,NN3,0.0027,0.0041,3.62e-07,389,4.1e-02,398,WD_0.1_NN_Every_2Steps_Third
18,NN1,0.0105,0.0092,8.50e-06,0,0.0e+00,80,WD_0.1_NN_First
19,NN2,-0.0009,-0.0015,2.10e-07,80,4.3e-02,80,WD_0.1_NN_Second
20,NN3,0.0022,0.0035,4.55e-07,80,2.6e-02,80,WD_0.1_NN_Third
