lag,d005,d010_SF2,d010,d020_long,d020
0,2.308740000000e-05,4.332920000000e-05,2.035940000000e-05,-1.059980000000e-05,-3.136300000000e-06
1,6.570910000000e-05,8.548120000000e-05,3.358000000000e-05,-1.934130000000e-05,-6.972500000000e-06
2,8.597470000000e-05,1.080324000000e-04,4.068440000000e-05,-1.963350000000e-05,-1.321400000000e-05
3,9.090840000000e-05,1.176857000000e-04,4.439110000000e-05,-1.832480000000e-05,-2.202220000000e-05
4,8.645550000000e-05,1.202605000000e-04,4.634350000000e-05,-1.901680000000e-05,-2.923500000000e-05
5,7.704090000000e-05,1.196192000000e-04,4.818150000000e-05,-2.019880000000e-05,-3.282070000000e-05
6,6.795130000000e-05,1.195003000000e-04,5.044510000000e-05,-2.126150000000e-05,-3.359090000000e-05
7,6.310430000000e-05,1.209215000000e-04,5.227000000000e-05,-2.269760000000e-05,-3.326530000000e-05
8,6.236320000000e-05,1.220638000000e-04,5.312220000000e-05,-2.374680000000e-05,-3.302040000000e-05
9,6.434510000000e-05,1.210504000000e-04,5.263190000000e-05,-2.343870000000e-05,-3.297500000000e-05
10,6.746690000000e-05,1.171882000000e-04,5.110880000000e-05,-2.198540000000e-05,-3.231070000000e-05
11,7.044830000000e-05,1.120421000000e-04,4.922770000000e-05,-1.997810000000e-05,-3.111150000000e-05
12,7.248800000000e-05,1.078508000000e-04,4.760330000000e-05,-1.812790000000e-05,-2.957910000000e-05
13,7.400180000000e-05,1.054865000000e-04,4.663980000000e-05,-1.680680000000e-05,-2.804430000000e-05
14,7.495680000000e-05,1.047858000000e-04,4.635360000000e-05,-1.602880000000e-05,-2.681050000000e-05
15,7.545360000000e-05,1.051937000000e-04,4.650740000000e-05,-1.565560000000e-05,-2.611150000000e-05
16,7.601230000000e-05,1.059610000000e-04,4.680870000000e-05,-1.533880000000e-05,-2.593800000000e-05
17,7.672150000000e-05,1.067619000000e-04,4.707890000000e-05,-1.489130000000e-05,-2.608390000000e-05
18,7.757120000000e-05,1.074210000000e-04,4.729030000000e-05,-1.444200000000e-05,-2.639850000000e-05
19,7.872810000000e-05,1.079014000000e-04,4.747620000000e-05,-1.405050000000e-05,-2.681580000000e-05
20,7.969170000000e-05,1.083140000000e-04,4.768250000000e-05,-1.372070000000e-05,-2.711210000000e-05
21,8.043200000000e-05,1.087331000000e-04,4.795230000000e-05,-1.344750000000e-05,-2.726740000000e-05
