lag,d005,d010_SF2,d010,d020_long,d020
0,-2.839700000000e-06,-2.522000000000e-07,-1.331000000000e-07,3.210000000000e-08,1.280000000000e-08
1,-2.306000000000e-06,3.570800000000e-06,1.313000000000e-06,1.764700000000e-06,1.543800000000e-06
2,1.268810000000e-05,1.615910000000e-05,5.966800000000e-06,3.767800000000e-06,5.787700000000e-06
3,1.545230000000e-05,5.059500000000e-06,1.088900000000e-06,5.972000000000e-06,6.330100000000e-06
4,1.666760000000e-05,-5.996900000000e-06,-2.561100000000e-06,8.252500000000e-06,6.324100000000e-06
5,1.672070000000e-05,-1.297080000000e-05,-5.189900000000e-06,8.309200000000e-06,7.508500000000e-06
6,1.486620000000e-05,-2.092650000000e-05,-8.748800000000e-06,6.876100000000e-06,9.166800000000e-06
7,1.269140000000e-05,-2.872800000000e-05,-1.224570000000e-05,5.528000000000e-06,1.089040000000e-05
8,1.173540000000e-05,-3.360130000000e-05,-1.442590000000e-05,4.716700000000e-06,1.241620000000e-05
9,1.233870000000e-05,-3.482200000000e-05,-1.495230000000e-05,4.126900000000e-06,1.347060000000e-05
10,1.397720000000e-05,-3.392170000000e-05,-1.437460000000e-05,3.459100000000e-06,1.383650000000e-05
11,1.545220000000e-05,-3.311110000000e-05,-1.358930000000e-05,2.605500000000e-06,1.330820000000e-05
12,1.559790000000e-05,-3.320150000000e-05,-1.303420000000e-05,1.616100000000e-06,1.180300000000e-05
13,1.438540000000e-05,-3.330710000000e-05,-1.254560000000e-05,6.851000000000e-07,9.529500000000e-06
14,1.281770000000e-05,-3.237720000000e-05,-1.188450000000e-05,3.370000000000e-08,6.925500000000e-06
15,1.166490000000e-05,-3.007720000000e-05,-1.093120000000e-05,-1.643000000000e-07,4.435800000000e-06
16,1.101980000000e-05,-2.655830000000e-05,-9.596400000000e-06,1.712000000000e-07,2.411200000000e-06
17,1.055830000000e-05,-2.241570000000e-05,-7.993400000000e-06,9.465000000000e-07,1.098500000000e-06
18,1.004110000000e-05,-1.888430000000e-05,-6.607400000000e-06,1.956500000000e-06,6.232000000000e-07
19,9.600600000000e-06,-1.738090000000e-05,-6.049100000000e-06,3.046600000000e-06,9.703000000000e-07
20,9.790200000000e-06,-1.881050000000e-05,-6.709100000000e-06,4.128500000000e-06,2.029600000000e-06
21,1.104480000000e-05,-2.308760000000e-05,-8.566700000000e-06,5.087300000000e-06,3.611600000000e-06
22,1.316030000000e-05,-2.919610000000e-05,-1.119290000000e-05,5.790400000000e-06,5.433400000000e-06
23,1.541210000000e-05,-3.558730000000e-05,-1.391190000000e-05,6.165400000000e-06,7.174300000000e-06
24,1.702610000000e-05,-4.067260000000e-05,-1.603330000000e-05,6.214700000000e-06,8.563900000000e-06
25,1.761030000000e-05,-4.324290000000e-05,-1.705700000000e-05,5.983100000000e-06,9.434600000000e-06
26,1.718590000000e-05,-4.277390000000e-05,-1.680000000000e-05,5.530900000000e-06,9.707800000000e-06
27,1.605890000000e-05,-3.963020000000e-05,-1.544660000000e-05,4.930300000000e-06,9.374400000000e-06
28,1.460820000000e-05,-3.502200000000e-05,-1.350900000000e-05,4.252800000000e-06,8.495900000000e-06
29,1.318850000000e-05,-3.061850000000e-05,-1.166000000000e-05,3.564400000000e-06,7.213300000000e-06
30,1.205830000000e-05,-2.796720000000e-05,-1.050290000000e-05,2.930600000000e-06,5.745100000000e-06
31,1.139520000000e-05,-2.784700000000e-05,-1.034170000000e-05,2.413200000000e-06,4.369500000000e-06
32,1.120580000000e-05,-2.997300000000e-05,-1.106540000000e-05,2.072700000000e-06,3.360100000000e-06
33,1.139520000000e-05,-3.311930000000e-05,-1.221530000000e-05,1.957300000000e-06,2.914600000000e-06
34,1.178540000000e-05,-3.571120000000e-05,-1.319680000000e-05,2.095600000000e-06,3.079700000000e-06
35,1.223950000000e-05,-3.651920000000e-05,-1.353920000000e-05,2.485700000000e-06,3.734200000000e-06
36,1.267070000000e-05,-3.515290000000e-05,-1.308370000000e-05,3.082500000000e-06,4.638400000000e-06
37,1.302850000000e-05,-3.221440000000e-05,-1.203240000000e-05,3.805300000000e-06,5.534000000000e-06
38,1.327350000000e-05,-2.894400000000e-05,-1.084130000000e-05,4.545100000000e-06,6.260600000000e-06
39,1.336910000000e-05,-2.671230000000e-05,-1.001960000000e-05,5.187000000000e-06,6.804100000000e-06
40,1.333730000000e-05,-2.641260000000e-05,-9.921600000000e-06,5.637400000000e-06,7.274400000000e-06
41,1.329250000000e-05,-2.822460000000e-05,-1.063850000000e-05,5.837300000000e-06,7.809600000000e-06
