model,band,d,event,window,pre_floor,peak,peak_lag,lag50,predicted,censored,case_label,censor_label
SA,d005,5.000000000000e-02,200,199,0.000000000000e+00,9.849000000000e-05,199,1.000000000000e+00,1.400000000000e-01,yes,0.05,C
SA,d010_SF2,1.000000000000e-01,200,199,0.000000000000e+00,1.276000000000e-04,199,1.000000000000e+00,2.900000000000e-01,yes,0.10 / SF2,C
SA,d010,1.000000000000e-01,200,199,0.000000000000e+00,6.653000000000e-05,199,1.000000000000e+00,2.900000000000e-01,yes,0.10,C
SA,d020_long,2.000000000000e-01,400,399,0.000000000000e+00,2.581000000000e-05,399,1.000000000000e+00,5.800000000000e-01,yes,0.20 / long,C
SA,d020,2.000000000000e-01,200,199,0.000000000000e+00,5.005000000000e-05,199,4.000000000000e+00,5.800000000000e-01,yes,0.20,C
SST,d005,5.000000000000e-02,200,199,0.000000000000e+00,1.158000000000e-04,199,1.000000000000e+00,1.400000000000e-01,yes,0.05,C
SST,d010_SF2,1.000000000000e-01,200,199,0.000000000000e+00,1.229000000000e-04,199,1.000000000000e+00,2.900000000000e-01,yes,0.10 / SF2,C
SST,d010,1.000000000000e-01,200,199,0.000000000000e+00,6.918000000000e-05,199,2.000000000000e+00,2.900000000000e-01,yes,0.10,C
SST,d020_long,2.000000000000e-01,400,399,0.000000000000e+00,2.202000000000e-05,8,1.000000000000e+00,5.800000000000e-01,no,0.20 / long,--
SST,d020,2.000000000000e-01,200,199,0.000000000000e+00,4.748000000000e-05,199,4.000000000000e+00,5.800000000000e-01,yes,0.20,C
