case,model,d,shell_r,nodes,travel,predicted_lag,peak,onset_2pct,onset_5pct,onset_10pct,onset_25pct,onset_50pct,onset_75pct,peak_in_ulp,below_three_ulp
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,5.000000000000e-02,5.000000000000e-03,3139,4.500000000000e-02,1.300000000000e-01,7.745000000000e-07,0,0,0,0,0,0,1.299395379200e+01,False
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,5.000000000000e-02,1.000000000000e-02,1118,4.000000000000e-02,1.200000000000e-01,7.166000000000e-07,0,0,0,0,0,0,1.202255298560e+01,False
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,5.000000000000e-02,2.000000000000e-02,577,3.000000000000e-02,9.000000000000e-02,7.973000000000e-07,0,0,0,0,0,0,1.337647431680e+01,False
RANS_SA_WD_0.05-0.10_ConsGalerkinProj_OneShot_Second,SA,5.000000000000e-02,4.000000000000e-02,329,1.000000000000e-02,3.000000000000e-02,2.169000000000e-06,0,0,0,0,0,0,3.638978150400e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,1.000000000000e-01,5.000000000000e-03,3139,9.500000000000e-02,2.700000000000e-01,1.327000000000e-06,0,0,0,1,4,6,2.226336563200e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,1.000000000000e-01,1.000000000000e-02,1118,9.000000000000e-02,2.600000000000e-01,9.380000000000e-07,0,0,0,0,3,5,1.573702860800e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,1.000000000000e-01,2.000000000000e-02,577,8.000000000000e-02,2.300000000000e-01,6.621000000000e-07,0,0,0,0,1,4,1.110819471360e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,1.000000000000e-01,4.000000000000e-02,329,6.000000000000e-02,1.700000000000e-01,6.509000000000e-07,0,0,0,0,0,1,1.092028989440e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,1.000000000000e-01,6.000000000000e-02,258,4.000000000000e-02,1.200000000000e-01,1.461000000000e-06,0,0,0,0,0,0,2.451151257600e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_SF2_Second,SA,1.000000000000e-01,8.000000000000e-02,201,2.000000000000e-02,6.000000000000e-02,3.452000000000e-06,0,0,0,0,0,0,5.791494963200e+01,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,1.000000000000e-01,5.000000000000e-03,3139,9.500000000000e-02,2.700000000000e-01,5.738000000000e-07,0,0,0,0,4,6,9.626766540800e+00,False
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,1.000000000000e-01,1.000000000000e-02,1118,9.000000000000e-02,2.600000000000e-01,4.176000000000e-07,0,0,0,0,1,5,7.006165401600e+00,False
