step,tconv,GP2_s1_eddy_rms_pct,GP2_s2_eddy_rms_pct,NN2_s1_eddy_rms_pct,NN2_s2_eddy_rms_pct
5,5.000000000000e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
10,1.000000000000e-03,1.345000000000e-02,1.680000000000e-02,1.265000000000e-02,1.672000000000e-02
15,1.500000000000e-03,6.876000000000e-02,7.602000000000e-02,6.828000000000e-02,7.586000000000e-02
20,2.000000000000e-03,7.944000000000e-02,8.692000000000e-02,7.947000000000e-02,8.585000000000e-02
25,2.500000000000e-03,7.476000000000e-02,9.849000000000e-02,7.513000000000e-02,9.791000000000e-02
30,3.000000000000e-03,7.955000000000e-02,1.108000000000e-01,7.906000000000e-02,1.108000000000e-01
35,3.500000000000e-03,1.224000000000e-01,9.683000000000e-02,1.238000000000e-01,9.598000000000e-02
40,4.000000000000e-03,9.773000000000e-02,9.862000000000e-02,9.975000000000e-02,1.007000000000e-01
45,4.500000000000e-03,7.576000000000e-02,1.251000000000e-01,7.695000000000e-02,1.278000000000e-01
50,5.000000000000e-03,7.612000000000e-02,9.214000000000e-02,7.627000000000e-02,8.850000000000e-02
55,5.500000000000e-03,1.181000000000e-01,8.784000000000e-02,1.198000000000e-01,8.734000000000e-02
60,6.000000000000e-03,1.408000000000e-01,8.212000000000e-02,1.443000000000e-01,8.778000000000e-02
65,6.500000000000e-03,1.213000000000e-01,1.136000000000e-01,1.247000000000e-01,1.072000000000e-01
70,7.000000000000e-03,1.032000000000e-01,1.162000000000e-01,1.045000000000e-01,1.084000000000e-01
75,7.500000000000e-03,1.427000000000e-01,1.126000000000e-01,1.361000000000e-01,1.096000000000e-01
80,8.000000000000e-03,1.581000000000e-01,1.398000000000e-01,1.763000000000e-01,1.418000000000e-01
85,8.500000000000e-03,1.250000000000e-01,1.449000000000e-01,1.458000000000e-01,1.471000000000e-01
90,9.000000000000e-03,9.335000000000e-02,9.683000000000e-02,9.034000000000e-02,9.547000000000e-02
95,9.500000000000e-03,9.371000000000e-02,8.396000000000e-02,9.410000000000e-02,7.868000000000e-02
100,1.000000000000e-02,1.047000000000e-01,7.636000000000e-02,1.116000000000e-01,8.193000000000e-02
105,1.050000000000e-02,9.426000000000e-02,1.417000000000e-01,1.016000000000e-01,1.463000000000e-01
110,1.100000000000e-02,9.255000000000e-02,1.495000000000e-01,9.315000000000e-02,1.458000000000e-01
115,1.150000000000e-02,1.079000000000e-01,2.027000000000e-01,1.035000000000e-01,2.206000000000e-01
120,1.200000000000e-02,2.567000000000e-01,7.220000000000e-01,2.112000000000e-01,7.426000000000e-01
125,1.250000000000e-02,4.695000000000e-01,7.887000000000e-01,4.128000000000e-01,7.842000000000e-01
130,1.300000000000e-02,3.612000000000e-01,8.540000000000e-01,3.413000000000e-01,8.500000000000e-01
135,1.350000000000e-02,3.240000000000e-01,1.342000000000e-01,3.233000000000e-01,1.405000000000e-01
140,1.400000000000e-02,1.285000000000e-01,1.378000000000e-01,1.401000000000e-01,1.510000000000e-01
145,1.450000000000e-02,1.359000000000e-01,1.308000000000e-01,1.243000000000e-01,1.389000000000e-01
150,1.500000000000e-02,1.024000000000e-01,1.005000000000e-01,1.094000000000e-01,9.955000000000e-02
155,1.550000000000e-02,1.372000000000e-01,1.232000000000e-01,1.117000000000e-01,1.268000000000e-01
160,1.600000000000e-02,1.597000000000e-01,1.539000000000e-01,1.254000000000e-01,1.796000000000e-01
165,1.650000000000e-02,1.489000000000e-01,1.985000000000e-01,1.368000000000e-01,2.360000000000e-01
170,1.700000000000e-02,1.264000000000e-01,1.352000000000e-01,1.037000000000e-01,1.387000000000e-01
175,1.750000000000e-02,1.405000000000e-01,1.278000000000e-01,1.149000000000e-01,1.539000000000e-01
180,1.800000000000e-02,7.434000000000e-02,1.407000000000e-01,6.089000000000e-02,1.588000000000e-01
185,1.850000000000e-02,1.070000000000e-01,1.531000000000e-01,1.204000000000e-01,1.640000000000e-01
190,1.900000000000e-02,1.333000000000e-01,1.779000000000e-01,1.383000000000e-01,1.734000000000e-01
195,1.950000000000e-02,1.207000000000e-01,2.061000000000e-01,1.101000000000e-01,2.056000000000e-01
200,2.000000000000e-02,7.702000000000e-02,1.066000000000e-01,6.811000000000e-02,1.144000000000e-01
205,2.050000000000e-02,9.250000000000e-02,1.146000000000e-01,8.650000000000e-02,1.324000000000e-01
210,2.100000000000e-02,1.021000000000e-01,1.540000000000e-01,1.009000000000e-01,1.635000000000e-01
215,2.150000000000e-02,8.643000000000e-02,1.076000000000e-01,9.983000000000e-02,1.227000000000e-01
220,2.200000000000e-02,7.394000000000e-02,1.106000000000e-01,7.716000000000e-02,9.805000000000e-02
225,2.250000000000e-02,1.101000000000e-01,1.134000000000e-01,1.059000000000e-01,1.073000000000e-01
230,2.300000000000e-02,1.024000000000e-01,1.136000000000e-01,1.094000000000e-01,1.344000000000e-01
235,2.350000000000e-02,8.376000000000e-02,1.294000000000e-01,1.068000000000e-01,1.475000000000e-01
240,2.400000000000e-02,6.799000000000e-02,1.131000000000e-01,7.743000000000e-02,1.210000000000e-01
245,2.450000000000e-02,8.840000000000e-02,1.313000000000e-01,1.195000000000e-01,1.479000000000e-01
250,2.500000000000e-02,9.683000000000e-02,1.689000000000e-01,9.940000000000e-02,3.240000000000e-01
255,2.550000000000e-02,1.396000000000e-01,1.323000000000e-01,1.238000000000e-01,3.297000000000e-01
260,2.600000000000e-02,1.295000000000e-01,6.197000000000e-02,1.083000000000e-01,2.948000000000e-01
265,2.650000000000e-02,1.431000000000e-01,9.801000000000e-02,1.297000000000e-01,1.146000000000e-01
270,2.700000000000e-02,1.459000000000e-01,1.081000000000e-01,1.260000000000e-01,1.023000000000e-01
275,2.750000000000e-02,9.917000000000e-02,1.039000000000e-01,8.983000000000e-02,1.099000000000e-01
280,2.800000000000e-02,1.066000000000e-01,9.910000000000e-02,1.150000000000e-01,1.072000000000e-01
285,2.850000000000e-02,1.511000000000e-01,9.477000000000e-02,1.579000000000e-01,1.026000000000e-01
290,2.900000000000e-02,1.265000000000e-01,8.984000000000e-02,9.092000000000e-02,8.596000000000e-02
295,2.950000000000e-02,1.048000000000e-01,1.203000000000e-01,1.070000000000e-01,1.230000000000e-01
300,3.000000000000e-02,8.475000000000e-02,1.281000000000e-01,9.463000000000e-02,1.271000000000e-01
305,3.050000000000e-02,9.905000000000e-02,1.243000000000e-01,1.066000000000e-01,1.436000000000e-01
310,3.100000000000e-02,1.401000000000e-01,1.222000000000e-01,1.475000000000e-01,1.514000000000e-01
315,3.150000000000e-02,9.689000000000e-02,1.294000000000e-01,9.933000000000e-02,1.388000000000e-01
320,3.200000000000e-02,1.068000000000e-01,1.389000000000e-01,1.134000000000e-01,1.605000000000e-01
325,3.250000000000e-02,1.112000000000e-01,1.326000000000e-01,1.194000000000e-01,1.482000000000e-01
330,3.300000000000e-02,9.420000000000e-02,1.653000000000e-01,9.491000000000e-02,1.378000000000e-01
335,3.350000000000e-02,8.983000000000e-02,2.211000000000e-01,8.726000000000e-02,1.480000000000e-01
340,3.400000000000e-02,9.166000000000e-02,2.365000000000e-01,9.483000000000e-02,1.412000000000e-01
345,3.450000000000e-02,8.289000000000e-02,2.055000000000e-01,8.950000000000e-02,8.159000000000e-02
350,3.500000000000e-02,9.228000000000e-02,7.820000000000e-02,9.735000000000e-02,6.410000000000e-02
355,3.550000000000e-02,1.023000000000e-01,8.615000000000e-02,9.914000000000e-02,9.130000000000e-02
360,3.600000000000e-02,1.436000000000e-01,1.063000000000e-01,1.437000000000e-01,9.620000000000e-02
365,3.650000000000e-02,8.889000000000e-02,9.456000000000e-02,9.313000000000e-02,8.396000000000e-02
370,3.700000000000e-02,8.522000000000e-02,8.299000000000e-02,8.801000000000e-02,7.806000000000e-02
375,3.750000000000e-02,1.067000000000e-01,9.596000000000e-02,1.064000000000e-01,9.355000000000e-02
380,3.800000000000e-02,7.927000000000e-02,7.728000000000e-02,8.395000000000e-02,7.979000000000e-02
385,3.850000000000e-02,9.745000000000e-02,1.016000000000e-01,9.823000000000e-02,8.243000000000e-02
390,3.900000000000e-02,1.460000000000e-01,1.434000000000e-01,1.244000000000e-01,8.047000000000e-02
395,3.950000000000e-02,1.165000000000e-01,1.416000000000e-01,1.036000000000e-01,8.336000000000e-02
