step,tconv,GP2_s1_eddy_rms_pct,GP2_s2_eddy_rms_pct,NN2_s1_eddy_rms_pct,NN2_s2_eddy_rms_pct
5,5.000000000000e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
10,1.000000000000e-03,1.556000000000e-01,1.991000000000e-01,1.535000000000e-01,1.995000000000e-01
15,1.500000000000e-03,2.936000000000e-01,3.451000000000e-01,2.935000000000e-01,3.448000000000e-01
20,2.000000000000e-03,2.939000000000e-01,2.907000000000e-01,2.936000000000e-01,2.986000000000e-01
25,2.500000000000e-03,3.533000000000e-01,2.366000000000e-01,3.519000000000e-01,2.409000000000e-01
30,3.000000000000e-03,2.743000000000e-01,2.302000000000e-01,2.667000000000e-01,2.245000000000e-01
35,3.500000000000e-03,2.641000000000e-01,2.714000000000e-01,2.651000000000e-01,2.726000000000e-01
40,4.000000000000e-03,2.667000000000e-01,3.209000000000e-01,2.643000000000e-01,3.275000000000e-01
45,4.500000000000e-03,2.985000000000e-01,3.373000000000e-01,2.985000000000e-01,3.530000000000e-01
50,5.000000000000e-03,2.751000000000e-01,2.925000000000e-01,2.724000000000e-01,3.155000000000e-01
55,5.500000000000e-03,2.895000000000e-01,3.346000000000e-01,2.700000000000e-01,3.355000000000e-01
60,6.000000000000e-03,2.469000000000e-01,2.782000000000e-01,2.435000000000e-01,2.779000000000e-01
65,6.500000000000e-03,3.116000000000e-01,3.781000000000e-01,3.028000000000e-01,3.790000000000e-01
70,7.000000000000e-03,2.943000000000e-01,3.256000000000e-01,2.819000000000e-01,3.235000000000e-01
75,7.500000000000e-03,3.293000000000e-01,3.353000000000e-01,3.208000000000e-01,3.366000000000e-01
80,8.000000000000e-03,2.643000000000e-01,3.308000000000e-01,2.522000000000e-01,3.266000000000e-01
85,8.500000000000e-03,3.217000000000e-01,4.317000000000e-01,3.268000000000e-01,4.725000000000e-01
90,9.000000000000e-03,2.909000000000e-01,3.845000000000e-01,2.968000000000e-01,3.805000000000e-01
95,9.500000000000e-03,2.987000000000e-01,4.090000000000e-01,3.409000000000e-01,4.236000000000e-01
100,1.000000000000e-02,2.656000000000e-01,3.861000000000e-01,2.577000000000e-01,4.054000000000e-01
105,1.050000000000e-02,2.546000000000e-01,3.944000000000e-01,2.593000000000e-01,4.000000000000e-01
110,1.100000000000e-02,2.292000000000e-01,2.929000000000e-01,2.266000000000e-01,3.047000000000e-01
115,1.150000000000e-02,2.617000000000e-01,6.168000000000e-01,2.592000000000e-01,6.856000000000e-01
120,1.200000000000e-02,2.484000000000e-01,1.139000000000e+00,2.485000000000e-01,1.117000000000e+00
125,1.250000000000e-02,2.748000000000e-01,1.003000000000e+00,2.690000000000e-01,9.723000000000e-01
130,1.300000000000e-02,2.731000000000e-01,5.478000000000e-01,2.524000000000e-01,5.477000000000e-01
135,1.350000000000e-02,2.866000000000e-01,2.556000000000e-01,2.637000000000e-01,2.516000000000e-01
140,1.400000000000e-02,2.390000000000e-01,2.138000000000e-01,2.360000000000e-01,2.082000000000e-01
145,1.450000000000e-02,3.013000000000e-01,3.532000000000e-01,3.052000000000e-01,3.567000000000e-01
150,1.500000000000e-02,2.916000000000e-01,3.206000000000e-01,2.964000000000e-01,3.298000000000e-01
155,1.550000000000e-02,3.983000000000e-01,3.658000000000e-01,3.588000000000e-01,3.665000000000e-01
160,1.600000000000e-02,3.140000000000e-01,3.276000000000e-01,2.996000000000e-01,3.153000000000e-01
165,1.650000000000e-02,3.709000000000e-01,3.123000000000e-01,3.391000000000e-01,3.103000000000e-01
170,1.700000000000e-02,2.964000000000e-01,2.903000000000e-01,3.051000000000e-01,2.877000000000e-01
175,1.750000000000e-02,3.137000000000e-01,3.858000000000e-01,2.659000000000e-01,3.843000000000e-01
180,1.800000000000e-02,2.483000000000e-01,3.332000000000e-01,2.509000000000e-01,3.285000000000e-01
185,1.850000000000e-02,3.796000000000e-01,4.724000000000e-01,3.510000000000e-01,4.633000000000e-01
190,1.900000000000e-02,2.703000000000e-01,3.957000000000e-01,2.783000000000e-01,4.248000000000e-01
195,1.950000000000e-02,3.036000000000e-01,3.153000000000e-01,3.158000000000e-01,4.576000000000e-01
200,2.000000000000e-02,3.444000000000e-01,3.064000000000e-01,3.447000000000e-01,4.385000000000e-01
205,2.050000000000e-02,4.318000000000e-01,4.224000000000e-01,4.273000000000e-01,4.570000000000e-01
210,2.100000000000e-02,3.216000000000e-01,3.402000000000e-01,3.682000000000e-01,3.372000000000e-01
215,2.150000000000e-02,2.367000000000e-01,3.826000000000e-01,2.547000000000e-01,3.697000000000e-01
220,2.200000000000e-02,2.383000000000e-01,2.801000000000e-01,2.408000000000e-01,2.909000000000e-01
225,2.250000000000e-02,3.666000000000e-01,2.983000000000e-01,3.673000000000e-01,3.079000000000e-01
230,2.300000000000e-02,2.645000000000e-01,2.700000000000e-01,2.763000000000e-01,2.569000000000e-01
235,2.350000000000e-02,3.403000000000e-01,2.853000000000e-01,3.483000000000e-01,3.166000000000e-01
240,2.400000000000e-02,2.791000000000e-01,2.892000000000e-01,2.792000000000e-01,2.872000000000e-01
245,2.450000000000e-02,3.969000000000e-01,3.154000000000e-01,3.814000000000e-01,3.137000000000e-01
250,2.500000000000e-02,3.553000000000e-01,1.985000000000e-01,3.491000000000e-01,2.011000000000e-01
255,2.550000000000e-02,2.720000000000e-01,2.236000000000e-01,2.783000000000e-01,2.286000000000e-01
260,2.600000000000e-02,2.369000000000e-01,2.165000000000e-01,2.412000000000e-01,2.115000000000e-01
265,2.650000000000e-02,4.015000000000e-01,3.299000000000e-01,3.987000000000e-01,3.293000000000e-01
270,2.700000000000e-02,4.026000000000e-01,2.763000000000e-01,3.816000000000e-01,2.882000000000e-01
