closure,control,quantity,coeff,production_rms,change_rms,change_over_production
SA,cap1600,GP2,CL,2.6267e-04,6.5316e-07,0.002
SA,cap1600,GP2,CD,6.5577e-05,1.3316e-07,0.002
SA,cap1600,GP2,CDv,2.1281e-07,7.6850e-09,0.036
SA,cap1600,NN2,CL,2.6020e-04,8.7936e-07,0.003
SA,cap1600,NN2,CD,6.6075e-05,6.6917e-08,0.001
SA,cap1600,NN2,CDv,2.2020e-07,5.2881e-09,0.024
SA,cap1600,P,CL,1.2056e-05,1.3177e-06,0.109
SA,cap1600,P,CD,2.1875e-06,1.8343e-07,0.084
SA,cap1600,P,CDv,2.9666e-08,1.1005e-08,0.371
SA,halfstep,GP2,CL,2.6267e-04,1.1103e-04,0.423
SA,halfstep,GP2,CD,6.5577e-05,1.5985e-05,0.244
SA,halfstep,GP2,CDv,2.1281e-07,8.1237e-07,3.817
SA,halfstep,NN2,CL,2.6020e-04,1.0612e-04,0.408
SA,halfstep,NN2,CD,6.6075e-05,1.5825e-05,0.240
SA,halfstep,NN2,CDv,2.2020e-07,8.1140e-07,3.685
SA,halfstep,P,CL,1.2056e-05,1.6712e-05,1.386
SA,halfstep,P,CD,2.1875e-06,3.2119e-06,1.468
SA,halfstep,P,CDv,2.9666e-08,3.9522e-08,1.332
SA,quarterstep,GP2,CL,2.6267e-04,1.6261e-04,0.619
SA,quarterstep,GP2,CD,6.5577e-05,2.3718e-05,0.362
SA,quarterstep,GP2,CDv,2.1281e-07,1.4749e-06,6.931
SA,quarterstep,NN2,CL,2.6020e-04,1.5287e-04,0.587
SA,quarterstep,NN2,CD,6.6075e-05,2.2062e-05,0.334
SA,quarterstep,NN2,CDv,2.2020e-07,2.0859e-06,9.473
SA,quarterstep,P,CL,1.2056e-05,3.7619e-05,3.120
SA,quarterstep,P,CD,2.1875e-06,6.9330e-06,3.169
SA,quarterstep,P,CDv,2.9666e-08,7.0710e-07,23.835
SA,finemesh,GP2,CL,2.6267e-04,1.9708e-04,0.750
SA,finemesh,GP2,CD,6.5577e-05,2.1047e-05,0.321
SA,finemesh,GP2,CDv,2.1281e-07,3.4299e-07,1.612
SA,finemesh,NN2,CL,2.6020e-04,1.9859e-04,0.763
SA,finemesh,NN2,CD,6.6075e-05,2.1863e-05,0.331
SA,finemesh,NN2,CDv,2.2020e-07,3.6001e-07,1.635
SA,finemesh,P,CL,1.2056e-05,1.4281e-05,1.185
SA,finemesh,P,CD,2.1875e-06,2.2598e-06,1.033
SA,finemesh,P,CDv,2.9666e-08,2.6429e-08,0.891
SST,cap1600,GP2,CL,1.6534e-04,6.1744e-06,0.037
SST,cap1600,GP2,CD,5.4494e-05,6.1471e-07,0.011
SST,cap1600,GP2,CDv,8.1146e-07,2.0382e-07,0.251
SST,cap1600,NN2,CL,1.6540e-04,6.0004e-06,0.036
SST,cap1600,NN2,CD,5.5120e-05,5.7343e-07,0.010
SST,cap1600,NN2,CDv,8.0241e-07,2.0719e-07,0.258
SST,cap1600,P,CL,5.9760e-06,8.1872e-07,0.137
SST,cap1600,P,CD,1.5877e-06,9.5874e-08,0.060
SST,cap1600,P,CDv,1.4955e-08,9.4598e-09,0.633
SST,cap6400,GP2,CL,1.6534e-04,1.1461e-05,0.069
SST,cap6400,GP2,CD,5.4494e-05,1.1599e-06,0.021
SST,cap6400,GP2,CDv,8.1146e-07,3.2902e-07,0.405
SST,cap6400,NN2,CL,1.6540e-04,1.4158e-05,0.086
SST,cap6400,NN2,CD,5.5120e-05,1.3957e-06,0.025
SST,cap6400,NN2,CDv,8.0241e-07,3.3536e-07,0.418
SST,cap6400,P,CL,5.9760e-06,4.0682e-06,0.681
SST,cap6400,P,CD,1.5877e-06,4.0737e-07,0.257
SST,cap6400,P,CDv,1.4955e-08,2.6916e-08,1.800
SST,halfstep,GP2,CL,1.6534e-04,1.6538e-04,1.000
SST,halfstep,GP2,CD,5.4494e-05,2.1553e-05,0.396
SST,halfstep,GP2,CDv,8.1146e-07,8.2235e-07,1.013
SST,halfstep,NN2,CL,1.6540e-04,1.6449e-04,0.994
SST,halfstep,NN2,CD,5.5120e-05,2.0834e-05,0.378
SST,halfstep,NN2,CDv,8.0241e-07,8.2230e-07,1.025
SST,halfstep,P,CL,5.9760e-06,9.0845e-06,1.520
SST,halfstep,P,CD,1.5877e-06,2.5351e-06,1.597
SST,halfstep,P,CDv,1.4955e-08,1.3694e-08,0.916
