closure,control,quantity,coeff,production_rms,change_rms,change_over_production
SA,cap1600,GP2,CL,2.6267e-04,6.5316e-07,0.002
SA,cap1600,GP2,CD,6.5577e-05,1.3316e-07,0.002
SA,cap1600,NN2,CL,2.6020e-04,8.7936e-07,0.003
SA,cap1600,NN2,CD,6.6075e-05,6.6917e-08,0.001
SA,cap1600,P,CL,1.2056e-05,1.3177e-06,0.109
SA,cap1600,P,CD,2.1875e-06,1.8343e-07,0.084
SA,halfstep,GP2,CL,2.6267e-04,3.9631e-05,0.151
SA,halfstep,GP2,CD,6.5577e-05,5.2769e-06,0.080
SA,halfstep,NN2,CL,2.6020e-04,4.2935e-05,0.165
SA,halfstep,NN2,CD,6.6075e-05,6.7485e-06,0.102
SA,halfstep,P,CL,1.2056e-05,9.0661e-06,0.752
SA,halfstep,P,CD,2.1875e-06,2.8157e-06,1.287
SA,quarterstep,GP2,CL,2.6267e-04,4.7508e-05,0.181
SA,quarterstep,GP2,CD,6.5577e-05,8.1191e-06,0.124
SA,quarterstep,NN2,CL,2.6020e-04,4.9009e-05,0.188
SA,quarterstep,NN2,CD,6.6075e-05,9.8922e-06,0.150
SA,quarterstep,P,CL,1.2056e-05,1.5853e-05,1.315
SA,quarterstep,P,CD,2.1875e-06,3.7401e-06,1.710
SA,finemesh,GP2,CL,2.6267e-04,1.9708e-04,0.750
SA,finemesh,GP2,CD,6.5577e-05,2.1047e-05,0.321
SA,finemesh,NN2,CL,2.6020e-04,1.9859e-04,0.763
SA,finemesh,NN2,CD,6.6075e-05,2.1863e-05,0.331
SA,finemesh,P,CL,1.2056e-05,1.4281e-05,1.185
SA,finemesh,P,CD,2.1875e-06,2.2598e-06,1.033
SST,cap1600,GP2,CL,1.6534e-04,6.1744e-06,0.037
SST,cap1600,GP2,CD,5.4494e-05,6.1471e-07,0.011
SST,cap1600,NN2,CL,1.6540e-04,6.0004e-06,0.036
SST,cap1600,NN2,CD,5.5120e-05,5.7343e-07,0.010
SST,cap1600,P,CL,5.9760e-06,8.1872e-07,0.137
SST,cap1600,P,CD,1.5877e-06,9.5874e-08,0.060
SST,cap6400,GP2,CL,1.6534e-04,1.1461e-05,0.069
SST,cap6400,GP2,CD,5.4494e-05,1.1599e-06,0.021
SST,cap6400,NN2,CL,1.6540e-04,1.4158e-05,0.086
SST,cap6400,NN2,CD,5.5120e-05,1.3957e-06,0.025
SST,cap6400,P,CL,5.9760e-06,4.0682e-06,0.681
SST,cap6400,P,CD,1.5877e-06,4.0737e-07,0.257
SST,halfstep,GP2,CL,1.6534e-04,3.2946e-05,0.199
SST,halfstep,GP2,CD,5.4494e-05,5.6059e-06,0.103
SST,halfstep,NN2,CL,1.6540e-04,3.3926e-05,0.205
SST,halfstep,NN2,CD,5.5120e-05,5.9636e-06,0.108
SST,halfstep,P,CL,5.9760e-06,8.7460e-06,1.464
SST,halfstep,P,CD,1.5877e-06,1.7505e-06,1.103
